trade_id,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_intensity
7129,CA,CA,RUBBE,BEVER,708.14,198.0,1.0,1.0,198.0,0.279606
1162,CA,CA,CHEM1,WHOLE,81.65,198.0,1.0,1.0,198.0,2.424985
1043,CA,CA,CHEM1,BIODI,81.15,197.0,1.0,1.0,197.0,2.427603
7188,CA,CA,RUBBE,MOTO1,698.83,195.0,1.0,1.0,195.0,0.279038
3703,CA,CA,GASDI,SALEM,171.68,195.0,1.0,1.0,195.0,1.135834
3015,CA,CA,FABRI,FOOD5,342.44,195.0,1.0,1.0,195.0,0.569443
5166,CA,CA,MOTOR,WHEAT,171.4,194.0,1.0,1.0,194.0,1.131855
1902,CA,CA,DISTR,CRUDE,351.43,192.0,1.0,1.0,192.0,0.546339
1050,CA,CA,CHEM1,BUSIN,79.14,192.0,1.0,1.0,192.0,2.42608
7024,CA,CA,RETA1,HOTEL,1182.05,191.0,1.0,1.0,191.0,0.161584
7030,CA,CA,RETA1,LANDT,1185.3,191.0,1.0,1.0,191.0,0.161141
5704,CA,CA,PAPER,VEGET,319.64,189.0,1.0,1.0,189.0,0.59129
6698,CA,CA,RECRE,FINAN,522.49,189.0,1.0,1.0,189.0,0.361729
549,CA,CA,BIODI,DISTR,60.97,188.0,1.0,1.0,188.0,3.083484
1173,CA,CA,CHEMI,BITU1,0.57,187.0,1.0,1.0,187.0,328.070175
3404,CA,CA,FORES,PAPER,729.78,187.0,1.0,1.0,187.0,0.256242
5310,CA,CA,NONF1,GLASS,58.21,187.0,1.0,1.0,187.0,3.212506
3695,CA,CA,GASDI,REALE,163.7,186.0,1.0,1.0,186.0,1.136225
7417,CA,CA,SANDC,LUBRI,0.35,186.0,1.0,1.0,186.0,531.428571
7561,CA,CA,STONE,KEROS,5.02,185.0,1.0,1.0,185.0,36.85259
1720,CA,CA,CRUDE,NONSP,379.99,184.0,1.0,1.0,184.0,0.484223
3925,CA,CA,HYDRO,HEAVY,357.74,183.0,1.0,1.0,183.0,0.511545
1206,CA,CA,CHEMI,LEATH,0.56,182.0,1.0,1.0,182.0,325.0
5423,CA,CA,NONME,MOTO1,103.37,182.0,1.0,1.0,182.0,1.760666
7397,CA,CA,SANDC,ELECT,0.34,182.0,1.0,1.0,182.0,535.294118
4243,CA,CA,KEROS,MOTOR,163.12,182.0,1.0,1.0,182.0,1.115743
7584,CA,CA,STONE,REFI1,4.91,181.0,1.0,1.0,181.0,36.863544
2699,CA,CA,ELEC5,RETA1,25.5,180.0,1.0,1.0,180.0,7.058824
3796,CA,CA,GLASS,RETA1,24.08,180.0,1.0,1.0,180.0,7.475083
3934,CA,CA,HYDRO,LIQUE,351.35,180.0,1.0,1.0,180.0,0.51231
2517,CA,CA,ELEC4,CRUDE,365.33,178.0,1.0,1.0,178.0,0.487231
680,CA,CA,BUSIN,93197,1653.58,176.0,1.0,1.0,176.0,0.106436
1755,CA,CA,DAIRY,FOOD5,431.03,175.0,1.0,1.0,175.0,0.406004
