factor_id,unit,stressor,extension
147,kg,"NMVOC - non combustion - Inorganic chemical industry, fertilizers and other - air",air_emissions
148,kg,NMVOC - non combustion - Leather coating - air,air_emissions
149,kg,NMVOC - non combustion - Manufacture of automobiles - air,air_emissions
150,kg,NMVOC - non combustion - Mutton and lamb - air,air_emissions
151,kg,NMVOC - non combustion - Oil refinery - air,air_emissions
152,kg,NMVOC - non combustion - Organic chemical industry - downstream units - air,air_emissions
153,kg,"NMVOC - non combustion - Organic chemical industry, storage - air",air_emissions
154,kg,NMVOC - non combustion - Other industrial use of solvents - air,air_emissions
155,kg,NMVOC - non combustion - Pharmaceutical industry - air,air_emissions
156,kg,NMVOC - non combustion - Polystyrene processing - air,air_emissions
157,kg,NMVOC - non combustion - Polyvinylchloride produceduction by suspension process - air,air_emissions
158,kg,NMVOC - non combustion - Pork - air,air_emissions
159,kg,"NMVOC - non combustion - Poultry, dressed - air",air_emissions
160,kg,"NMVOC - non combustion - Printing, offset - air",air_emissions
161,kg,NMVOC - non combustion - Products incorporating solvents - air,air_emissions
162,kg,NMVOC - non combustion - Raw sugar - air,air_emissions
163,kg,NMVOC - non combustion - Rotogravure in publication - air,air_emissions
164,kg,NMVOC - non combustion - Screen printing - air,air_emissions
165,kg,NMVOC - non combustion - Steam cracking (ethylene and propylene production) - air,air_emissions
166,kg,NMVOC - non combustion - Synthetic rubber - air,air_emissions
167,kg,NMVOC - non combustion - Tyre production - air,air_emissions
168,kg,NMVOC - non combustion - Vehicle refinishing - air,air_emissions
169,kg,NMVOC - non combustion - Wire coating - air,air_emissions
170,kg,NOx - non combustion - Agglomeration plant - pellets - air,air_emissions
171,kg,NOx - non combustion - Agglomeration plant - sinter - air,air_emissions
172,kg,NOx - non combustion - Bricks production - air,air_emissions
173,kg,NOx - non combustion - Cement production - air,air_emissions
174,kg,"NOx - non combustion - Chemical wood pulp, dissolving grades - air",air_emissions
175,kg,"NOx - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air",air_emissions
176,kg,"NOx - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air",air_emissions
177,kg,NOx - non combustion - Glass production - air,air_emissions
178,kg,NOx - non combustion - Lime production - air,air_emissions
179,kg,"NOx - non combustion - Nickel, unwrought - air",air_emissions
180,kg,NOx - non combustion - Oil refinery - air,air_emissions
181,kg,"NOx - non combustion - Pig iron production, blast furnace - air",air_emissions
182,kg,NOx - non combustion - Production of coke oven coke - air,air_emissions
183,kg,NOx - non combustion - Production of gascoke - air,air_emissions
184,kg,"NOx - non combustion - Refined copper; unwrought, not alloyed - air",air_emissions
185,kg,"NOx - non combustion - Refined lead, unwrought - air",air_emissions
186,kg,"NOx - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air",air_emissions
187,kg,NOx - non combustion - Steel production: basic oxygen furnace - air,air_emissions
188,kg,NOx - non combustion - Steel production: electric arc furnace - air,air_emissions
189,kg,NOx - non combustion - Sulphuric acid production - air,air_emissions
190,kg,NOx - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,air_emissions
191,kg,"NOx - non combustion - Zinc, unwrought, not alloyed - air",air_emissions
192,kg,Ni - non combustion - Agglomeration plant - pellets - air,air_emissions
193,kg,Ni - non combustion - Agglomeration plant - sinter - air,air_emissions
194,kg,Ni - non combustion - Glass production - air,air_emissions
195,kg,Ni - non combustion - Production of coke oven coke - air,air_emissions
196,kg,Ni - non combustion - Production of gascoke - air,air_emissions
197,kg,Ni - non combustion - Steel production: basic oxygen furnace - air,air_emissions
198,kg,Ni - non combustion - Steel production: electric arc furnace - air,air_emissions
199,kg,Ni - non combustion - Steel production: open hearth furnace - air,air_emissions
200,kg,PAH - non combustion - Agglomeration plant - pellets - air,air_emissions
201,kg,PAH - non combustion - Agglomeration plant - sinter - air,air_emissions
202,kg,"PAH - non combustion - Pig iron production, blast furnace - air",air_emissions
203,kg,PAH - non combustion - Production of coke oven coke - air,air_emissions
204,kg,PAH - non combustion - Production of gascoke - air,air_emissions
205,kg,PAH - non combustion - Steel production: basic oxygen furnace - air,air_emissions
206,kg,PAH - non combustion - Steel production: electric arc furnace - air,air_emissions
207,kg,PCB - non combustion - Agglomeration plant - pellets - air,air_emissions
208,kg,PCB - non combustion - Agglomeration plant - sinter - air,air_emissions
209,kg,"PCB - non combustion - Pig iron production, blast furnace - air",air_emissions
210,kg,PCB - non combustion - Steel production: basic oxygen furnace - air,air_emissions
211,kg,PCB - non combustion - Steel production: electric arc furnace - air,air_emissions
212,kg,PCDD/F - non combustion - Agglomeration plant - pellets - air,air_emissions
213,kg,PCDD/F - non combustion - Agglomeration plant - sinter - air,air_emissions
214,kg,"PCDD/F - non combustion - Pig iron production, blast furnace - air",air_emissions
215,kg,PCDD/F - non combustion - Secondary aluminium production - air,air_emissions
216,kg,PCDD/F - non combustion - Steel production: basic oxygen furnace - air,air_emissions
217,kg,PCDD/F - non combustion - Steel production: electric arc furnace - air,air_emissions
218,kg,PM10 - non combustion - Agglomeration plant - pellets - air,air_emissions
219,kg,PM10 - non combustion - Agglomeration plant - sinter - air,air_emissions
220,kg,PM10 - non combustion - Aluminium ores and concentrates (Bauxite) - air,air_emissions
221,kg,PM10 - non combustion - Bricks production - air,air_emissions
222,kg,PM10 - non combustion - Briquettes production - air,air_emissions
223,kg,PM10 - non combustion - Carbon black production - air,air_emissions
224,kg,PM10 - non combustion - Cast iron production (grey iron foundries) - air,air_emissions
225,kg,PM10 - non combustion - Cement production - air,air_emissions
226,kg,"PM10 - non combustion - Chemical wood pulp, dissolving grades - air",air_emissions
227,kg,"PM10 - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air",air_emissions
228,kg,"PM10 - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air",air_emissions
229,kg,PM10 - non combustion - Chromium ores and concentrates - air,air_emissions
230,kg,PM10 - non combustion - Copper ores and concentrates - air,air_emissions
231,kg,PM10 - non combustion - Fertilizer production (N-fertilizer) - air,air_emissions
232,kg,PM10 - non combustion - Glass production - air,air_emissions
233,kg,PM10 - non combustion - Gold ores and concentrates - air,air_emissions
234,kg,PM10 - non combustion - Iron ores and concentrates - air,air_emissions
235,kg,PM10 - non combustion - Lead ores and concentrates - air,air_emissions
236,kg,PM10 - non combustion - Lime production - air,air_emissions
237,kg,PM10 - non combustion - Mining of antracite - air,air_emissions
238,kg,PM10 - non combustion - Mining of bituminous coal - air,air_emissions
239,kg,PM10 - non combustion - Mining of coking coal - air,air_emissions
240,kg,PM10 - non combustion - Mining of lignite (brown coal) - air,air_emissions
241,kg,PM10 - non combustion - Mining of sub-bituminous coal - air,air_emissions
242,kg,PM10 - non combustion - Molybdenum ores and concentrates - air,air_emissions
243,kg,PM10 - non combustion - N- fertilizer production - air,air_emissions
244,kg,PM10 - non combustion - Nickel ores and concentrates - air,air_emissions
245,kg,"PM10 - non combustion - Nickel, unwrought - air",air_emissions
246,kg,PM10 - non combustion - Oil refinery - air,air_emissions
247,kg,"PM10 - non combustion - Pig iron production, blast furnace - air",air_emissions
248,kg,PM10 - non combustion - Platinum ores and concentrates - air,air_emissions
249,kg,PM10 - non combustion - Primary aluminium production - air,air_emissions
250,kg,PM10 - non combustion - Production of coke oven coke - air,air_emissions
251,kg,PM10 - non combustion - Production of gascoke - air,air_emissions
252,kg,"PM10 - non combustion - Refined copper; unwrought, not alloyed - air",air_emissions
253,kg,"PM10 - non combustion - Refined lead, unwrought - air",air_emissions
254,kg,PM10 - non combustion - Secondary aluminium production - air,air_emissions
255,kg,"PM10 - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air",air_emissions
256,kg,PM10 - non combustion - Silver ores and concentrates - air,air_emissions
257,kg,PM10 - non combustion - Steel production: basic oxygen furnace - air,air_emissions
258,kg,PM10 - non combustion - Steel production: electric arc furnace - air,air_emissions
259,kg,PM10 - non combustion - Steel production: open hearth furnace - air,air_emissions
260,kg,PM10 - non combustion - Tin ores and concentrates - air,air_emissions
261,kg,PM10 - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,air_emissions
262,kg,PM10 - non combustion - Zinc ores and concentrates - air,air_emissions
263,kg,"PM10 - non combustion - Zinc, unwrought, not alloyed - air",air_emissions
264,kg,PM2.5 - non combustion - Agglomeration plant - pellets - air,air_emissions
265,kg,PM2.5 - non combustion - Agglomeration plant - sinter - air,air_emissions
266,kg,PM2.5 - non combustion - Aluminium ores and concentrates (Bauxite) - air,air_emissions
267,kg,PM2.5 - non combustion - Bricks production - air,air_emissions
268,kg,PM2.5 - non combustion - Briquettes production - air,air_emissions
269,kg,PM2.5 - non combustion - Carbon black production - air,air_emissions
270,kg,PM2.5 - non combustion - Cast iron production (grey iron foundries) - air,air_emissions
271,kg,PM2.5 - non combustion - Cement production - air,air_emissions
272,kg,"PM2.5 - non combustion - Chemical wood pulp, dissolving grades - air",air_emissions
273,kg,"PM2.5 - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air",air_emissions
274,kg,"PM2.5 - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air",air_emissions
275,kg,PM2.5 - non combustion - Chromium ores and concentrates - air,air_emissions
276,kg,PM2.5 - non combustion - Copper ores and concentrates - air,air_emissions
277,kg,PM2.5 - non combustion - Fertilizer production (N-fertilizer) - air,air_emissions
278,kg,PM2.5 - non combustion - Glass production - air,air_emissions
279,kg,PM2.5 - non combustion - Gold ores and concentrates - air,air_emissions
280,kg,PM2.5 - non combustion - Iron ores and concentrates - air,air_emissions
281,kg,PM2.5 - non combustion - Lead ores and concentrates - air,air_emissions
282,kg,PM2.5 - non combustion - Lime production - air,air_emissions
283,kg,PM2.5 - non combustion - Mining of antracite - air,air_emissions
284,kg,PM2.5 - non combustion - Mining of bituminous coal - air,air_emissions
285,kg,PM2.5 - non combustion - Mining of coking coal - air,air_emissions
286,kg,PM2.5 - non combustion - Mining of lignite (brown coal) - air,air_emissions
287,kg,PM2.5 - non combustion - Mining of sub-bituminous coal - air,air_emissions
288,kg,PM2.5 - non combustion - Molybdenum ores and concentrates - air,air_emissions
289,kg,PM2.5 - non combustion - N- fertilizer production - air,air_emissions
290,kg,PM2.5 - non combustion - Nickel ores and concentrates - air,air_emissions
291,kg,"PM2.5 - non combustion - Nickel, unwrought - air",air_emissions
292,kg,PM2.5 - non combustion - Oil refinery - air,air_emissions
293,kg,"PM2.5 - non combustion - Pig iron production, blast furnace - air",air_emissions
294,kg,PM2.5 - non combustion - Platinum ores and concentrates - air,air_emissions
295,kg,PM2.5 - non combustion - Primary aluminium production - air,air_emissions
296,kg,PM2.5 - non combustion - Production of coke oven coke - air,air_emissions
297,kg,PM2.5 - non combustion - Production of gascoke - air,air_emissions
298,kg,"PM2.5 - non combustion - Refined copper; unwrought, not alloyed - air",air_emissions
299,kg,"PM2.5 - non combustion - Refined lead, unwrought - air",air_emissions
300,kg,PM2.5 - non combustion - Secondary aluminium production - air,air_emissions
301,kg,"PM2.5 - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air",air_emissions
302,kg,PM2.5 - non combustion - Silver ores and concentrates - air,air_emissions
303,kg,PM2.5 - non combustion - Steel production: basic oxygen furnace - air,air_emissions
304,kg,PM2.5 - non combustion - Steel production: electric arc furnace - air,air_emissions
305,kg,PM2.5 - non combustion - Steel production: open hearth furnace - air,air_emissions
306,kg,PM2.5 - non combustion - Tin ores and concentrates - air,air_emissions
307,kg,PM2.5 - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,air_emissions
308,kg,PM2.5 - non combustion - Zinc ores and concentrates - air,air_emissions
309,kg,"PM2.5 - non combustion - Zinc, unwrought, not alloyed - air",air_emissions
310,kg,Pb - non combustion - Agglomeration plant - pellets - air,air_emissions
311,kg,Pb - non combustion - Agglomeration plant - sinter - air,air_emissions
312,kg,Pb - non combustion - Glass production - air,air_emissions
313,kg,"Pb - non combustion - Nickel, unwrought - air",air_emissions
314,kg,"Pb - non combustion - Pig iron production, blast furnace - air",air_emissions
315,kg,Pb - non combustion - Production of coke oven coke - air,air_emissions
316,kg,Pb - non combustion - Production of gascoke - air,air_emissions
317,kg,"Pb - non combustion - Refined copper; unwrought, not alloyed - air",air_emissions
318,kg,"Pb - non combustion - Refined lead, unwrought - air",air_emissions
319,kg,Pb - non combustion - Steel production: basic oxygen furnace - air,air_emissions
320,kg,Pb - non combustion - Steel production: electric arc furnace - air,air_emissions
321,kg,Pb - non combustion - Steel production: open hearth furnace - air,air_emissions
322,kg,Pb - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,air_emissions
323,kg,"Pb - non combustion - Zinc, unwrought, not alloyed - air",air_emissions
324,kg,SOx - non combustion - Agglomeration plant - sinter - air,air_emissions
325,kg,SOx - non combustion - Bricks production - air,air_emissions
326,kg,SOx - non combustion - Cement production - air,air_emissions
327,kg,"SOx - non combustion - Chemical wood pulp, dissolving grades - air",air_emissions
328,kg,"SOx - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air",air_emissions
329,kg,"SOx - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air",air_emissions
330,kg,SOx - non combustion - Glass production - air,air_emissions
331,kg,SOx - non combustion - Lime production - air,air_emissions
332,kg,"SOx - non combustion - Nickel, unwrought - air",air_emissions
333,kg,SOx - non combustion - Oil refinery - air,air_emissions
334,kg,"SOx - non combustion - Pig iron production, blast furnace - air",air_emissions
335,kg,SOx - non combustion - Production of coke oven coke - air,air_emissions
336,kg,SOx - non combustion - Production of gascoke - air,air_emissions
337,kg,"SOx - non combustion - Refined copper; unwrought, not alloyed - air",air_emissions
338,kg,"SOx - non combustion - Refined lead, unwrought - air",air_emissions
339,kg,"SOx - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air",air_emissions
340,kg,SOx - non combustion - Sulphuric acid production - air,air_emissions
341,kg,SOx - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,air_emissions
342,kg,"SOx - non combustion - Zinc, unwrought, not alloyed - air",air_emissions
343,kg,Se - non combustion - Agglomeration plant - pellets - air,air_emissions
344,kg,Se - non combustion - Agglomeration plant - sinter - air,air_emissions
345,kg,Se - non combustion - Glass production - air,air_emissions
346,kg,Se - non combustion - Steel production: basic oxygen furnace - air,air_emissions
347,kg,TSP - non combustion - Agglomeration plant - pellets - air,air_emissions
348,kg,TSP - non combustion - Agglomeration plant - sinter - air,air_emissions
349,kg,TSP - non combustion - Aluminium ores and concentrates (Bauxite) - air,air_emissions
350,kg,TSP - non combustion - Bricks production - air,air_emissions
351,kg,TSP - non combustion - Briquettes production - air,air_emissions
352,kg,TSP - non combustion - Carbon black production - air,air_emissions
353,kg,TSP - non combustion - Cast iron production (grey iron foundries) - air,air_emissions
354,kg,TSP - non combustion - Cement production - air,air_emissions
355,kg,"TSP - non combustion - Chemical wood pulp, dissolving grades - air",air_emissions
356,kg,"TSP - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air",air_emissions
357,kg,"TSP - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air",air_emissions
358,kg,TSP - non combustion - Chromium ores and concentrates - air,air_emissions
359,kg,TSP - non combustion - Copper ores and concentrates - air,air_emissions
360,kg,TSP - non combustion - Fertilizer production (N-fertilizer) - air,air_emissions
361,kg,TSP - non combustion - Glass production - air,air_emissions
362,kg,TSP - non combustion - Gold ores and concentrates - air,air_emissions
363,kg,TSP - non combustion - Iron ores and concentrates - air,air_emissions
364,kg,TSP - non combustion - Lead ores and concentrates - air,air_emissions
365,kg,TSP - non combustion - Lime production - air,air_emissions
366,kg,TSP - non combustion - Mining of antracite - air,air_emissions
367,kg,TSP - non combustion - Mining of bituminous coal - air,air_emissions
368,kg,TSP - non combustion - Mining of coking coal - air,air_emissions
369,kg,TSP - non combustion - Mining of lignite (brown coal) - air,air_emissions
370,kg,TSP - non combustion - Mining of sub-bituminous coal - air,air_emissions
371,kg,TSP - non combustion - Molybdenum ores and concentrates - air,air_emissions
372,kg,TSP - non combustion - N- fertilizer production - air,air_emissions
373,kg,TSP - non combustion - Nickel ores and concentrates - air,air_emissions
374,kg,"TSP - non combustion - Nickel, unwrought - air",air_emissions
375,kg,TSP - non combustion - Oil refinery - air,air_emissions
376,kg,"TSP - non combustion - Pig iron production, blast furnace - air",air_emissions
377,kg,TSP - non combustion - Platinum ores and concentrates - air,air_emissions
378,kg,TSP - non combustion - Primary aluminium production - air,air_emissions
379,kg,TSP - non combustion - Production of coke oven coke - air,air_emissions
380,kg,TSP - non combustion - Production of gascoke - air,air_emissions
381,kg,"TSP - non combustion - Refined copper; unwrought, not alloyed - air",air_emissions
382,kg,"TSP - non combustion - Refined lead, unwrought - air",air_emissions
383,kg,TSP - non combustion - Secondary aluminium production - air,air_emissions
384,kg,"TSP - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air",air_emissions
385,kg,TSP - non combustion - Silver ores and concentrates - air,air_emissions
386,kg,TSP - non combustion - Steel production: basic oxygen furnace - air,air_emissions
387,kg,TSP - non combustion - Steel production: electric arc furnace - air,air_emissions
388,kg,TSP - non combustion - Steel production: open hearth furnace - air,air_emissions
389,kg,TSP - non combustion - Tin ores and concentrates - air,air_emissions
390,kg,TSP - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,air_emissions
391,kg,TSP - non combustion - Zinc ores and concentrates - air,air_emissions
392,kg,"TSP - non combustion - Zinc, unwrought, not alloyed - air",air_emissions
393,kg,Zn - non combustion - Agglomeration plant - pellets - air,air_emissions
394,kg,Zn - non combustion - Agglomeration plant - sinter - air,air_emissions
395,kg,Zn - non combustion - Glass production - air,air_emissions
396,kg,"Zn - non combustion - Nickel, unwrought - air",air_emissions
397,kg,"Zn - non combustion - Pig iron production, blast furnace - air",air_emissions
398,kg,"Zn - non combustion - Refined copper; unwrought, not alloyed - air",air_emissions
399,kg,"Zn - non combustion - Refined lead, unwrought - air",air_emissions
400,kg,Zn - non combustion - Steel production: basic oxygen furnace - air,air_emissions
401,kg,Zn - non combustion - Steel production: electric arc furnace - air,air_emissions
402,kg,Zn - non combustion - Steel production: open hearth furnace - air,air_emissions
403,kg,Zn - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,air_emissions
404,kg,"Zn - non combustion - Zinc, unwrought, not alloyed - air",air_emissions
405,kg,SF6 - air,air_emissions
