flow_uuid,flowable,context,unit,compartment,flow_class,preferred,external_reference,cas_number,formula,synonyms,trade_relevance
ca3f8c57-f25d-517f-a16c-a97716139382,Domestic Extraction Used - Non-Metallic Minerals - Gypsum,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:499; extension:material,9
484bbf31-eb91-520f-9af2-f2d17f5a94c0,Domestic Extraction Used - Non-Metallic Minerals - Industrial minerals n.e.c,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:506; extension:material,9
143b118e-e732-54d4-8e6a-bf50322c9486,Domestic Extraction Used - Non-Metallic Minerals - Industrial sand and gravel,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:502; extension:material,9
a4795edf-feca-50ca-9708-d8978d1c8dc9,Domestic Extraction Used - Non-Metallic Minerals - Limestone,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:498; extension:material,9
f80226fd-3b56-52dc-95b6-7d9dc1016186,Domestic Extraction Used - Non-Metallic Minerals - Ornamental or building stone,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:495; extension:material,9
f6e0cb68-28b3-583c-a259-4637e017f225,Domestic Extraction Used - Non-Metallic Minerals - Other non-metallic minerals n.e.c.,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:508; extension:material,9
0f5992df-0780-5949-afe2-303f87527af8,Domestic Extraction Used - Non-Metallic Minerals - Salt,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:507; extension:material,9
2eb7ee4f-db4f-5839-8412-a63d86b43ab0,Domestic Extraction Used - Non-Metallic Minerals - Sand gravel and crushed rock for construction,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:503; extension:material,9
124d8d91-ff82-5684-bb60-01022b8c4c77,Domestic Extraction Used - Non-Metallic Minerals - Specialty clays,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:501; extension:material,9
846c8610-80bd-51c1-a4a7-44235e7289f8,Domestic Extraction Used - Non-Metallic Minerals - Structural clays,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:500; extension:material,9
68b718a1-98bc-506c-9bae-c499dd52e6be,"Material (metals and minerals, MNRL-scope — see exiobase_factors.py)",resource/natural,kilotonnes,natural resources,resource,True,Exiobase,,,factor_id:909; extension:material,9
4382ba18-dd21-3837-80b2-94283ef5490e,Nitrogen oxides,emission/air,kg,air,Groups,False,https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=38802,11104-93-1,-,,8
0418b561-ecf8-33c8-9c81-225789f15bd3,Particulate matter,emission/air,kg,air,Groups,False,https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=79627,,,Particulates,8
5a939c2b-cebf-3060-8862-4a8650caf6dd,"Particulate matter, ≤ 10μm",emission/air,kg,air,Groups,False,https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=79583,n.a.,,,8
49a9c581-7c83-36b0-b1bd-455ea4c665a6,"Particulate matter, ≤ 2.5μm",emission/air,kg,air,Groups,False,https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=79581,n.a.,,,8
f4973035-59f5-3bdc-b257-b274dcc04e0f,Sulfur dioxide,emission/air,kg,air,Chemicals,False,https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=36802,7446-09-5,O2S,,8
8334c424-1603-3274-bec1-15a7bd5c8e86,Sulfur hexafluoride,emission/air,kg,air,Chemicals,False,https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=39886,2551-62-4,F6S,"Sulfur fluoride (SF6); Sulfur fluoride (SF6), (OC-6-11)-",8
42e4c3cb-8468-3004-bd4b-19e6cbb81687,Sulfur oxides,emission/air,kg,air,Groups,False,,n.a.,,,8
b81db912-264e-5dfc-88e6-ac84ffd544d0,B(b)F - combustion - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:3; extension:air_emissions,5
1f9f2948-1450-5684-8c46-fccd9d8fcc5a,B(b)F - non combustion - Primary aluminium production - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:43; extension:air_emissions,5
90a57745-052e-57a2-9371-d973e6c38423,B(b)F - non combustion - Production of coke oven coke - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:44; extension:air_emissions,5
44077798-b6f0-5caa-b74b-c366981dbddb,B(b)F - non combustion - Production of gascoke - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:45; extension:air_emissions,5
0f23984f-5def-51a0-ad90-c6c7603fb87c,HFC - air,emission/air,kg CO2-eq,air,environmental,True,Exiobase,,,factor_id:406; extension:air_emissions,5
ffbdb8d8-46dd-56ff-bcb7-ce74a3694dc9,"HFCs and PFCs, unspecified",emission/air,kg,air,environmental,True,Exiobase,,,factor_id:905; extension:air_emissions,5
d88131f0-7acb-550a-98e8-a30fdaf50664,NMVOC - combustion - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:19; extension:air_emissions,5
8bf84e71-5427-5a84-b084-e2e0c9078207,NMVOC - non combustion - Beef and veal - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:123; extension:air_emissions,5
9de65545-4de5-5c39-b70d-3d5864bf0fb3,NMVOC - non combustion - Coil coating (coating of aluminum and steel) - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:124; extension:air_emissions,5
caa12887-4d84-5d63-8ea1-99ff8beb0eb2,NMVOC - non combustion - Decorative paint applicatoin - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:125; extension:air_emissions,5
e5cac0c9-a3d0-5ac2-b2ee-4c7b17f97cd5,NMVOC - non combustion - Degreasing - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:126; extension:air_emissions,5
297d7ce0-f29a-5f8f-9cce-79f434ba5ab1,NMVOC - non combustion - Diesel distribution - transport and depots (used in mobile sources) - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:127; extension:air_emissions,5
8fcf04f5-d4ed-5e0a-8990-2eb659d0550f,NMVOC - non combustion - Diesel distribution - transport and depots (used in stationary sources) - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:128; extension:air_emissions,5
e51dd3cf-87d2-5ea2-b5c2-d9d9e2db7fbe,NMVOC - non combustion - Dry cleaning - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:129; extension:air_emissions,5
fbd622c1-d778-5b12-88d5-40b155a58bed,"NMVOC - non combustion - Extraction, proc. and distribution of gaseous fuels - air",emission/air,kg,air,environmental,True,Exiobase,,,factor_id:130; extension:air_emissions,5
5151c6a7-2e47-5349-a793-155770bf0c33,"NMVOC - non combustion - Extraction, proc. and distribution of liquid fuels - air",emission/air,kg,air,environmental,True,Exiobase,,,factor_id:131; extension:air_emissions,5
0c2e159f-11c1-52cd-90f3-3eac97bb0a1c,NMVOC - non combustion - Extraction/production of (natural) gas - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:132; extension:air_emissions,5
044daec6-214c-5445-a80d-6d0b943278c6,NMVOC - non combustion - Extraction/production of crude oil - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:133; extension:air_emissions,5
be7ce6e3-4ccb-58c1-9df5-5adc4614ecc0,"NMVOC - non combustion - Fat, edible and non-edible oil extraction - air",emission/air,kg,air,environmental,True,Exiobase,,,factor_id:134; extension:air_emissions,5
abb0c9b6-3e00-534a-8923-cce5dfabe1c5,"NMVOC - non combustion - Fish, dried, salted or in brine; smoked fish; edible fish meal - air",emission/air,kg,air,environmental,True,Exiobase,,,factor_id:135; extension:air_emissions,5
b755fb93-0210-5607-986c-89f470e56e36,"NMVOC - non combustion - Fish, fish fillets, other fish meat and fish livers and roes, frozen - air",emission/air,kg,air,environmental,True,Exiobase,,,factor_id:136; extension:air_emissions,5
3e89ff5c-acf3-58f5-af37-26881ea9e7cb,"NMVOC - non combustion - Fish, otherwise prepared or preserved; caviar - air",emission/air,kg,air,environmental,True,Exiobase,,,factor_id:137; extension:air_emissions,5
3fe69ba7-fbeb-50e2-af9f-f442a6dc1100,NMVOC - non combustion - Flexography and rotogravure in packaging - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:138; extension:air_emissions,5
b973e8ee-d859-521b-a489-5d50990efcf1,NMVOC - non combustion - Gasoline distribution - service stations - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:139; extension:air_emissions,5
16e72a43-cc0a-5fc4-9b67-ca66d8f36d9c,NMVOC - non combustion - Gasoline distribution - transport and depots (used in mobile sources) - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:140; extension:air_emissions,5
e30b8d7d-b0dc-5d01-b926-8cf90958b4ac,NMVOC - non combustion - Gasoline distribution - transport and depots (used in stationary sources) - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:141; extension:air_emissions,5
b39440b9-58b4-55db-ba6c-1c226c4613c6,NMVOC - non combustion - Industrial application of adhesives (use of high performance solvent based adhesives) - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:142; extension:air_emissions,5
d2f265c0-69a3-533f-ae5f-0862d3f60e03,NMVOC - non combustion - Industrial application of adhesives (use of traditional solvent based adhesives) - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:143; extension:air_emissions,5
84a7c931-2496-593b-9b96-77448b493163,"NMVOC - non combustion - Industrial paint application, general industry (continuous processes) - air",emission/air,kg,air,environmental,True,Exiobase,,,factor_id:144; extension:air_emissions,5
d4e1aace-340c-5d5f-9860-357a6c7361bd,"NMVOC - non combustion - Industrial paint application, general industry (plastic parts) - air",emission/air,kg,air,environmental,True,Exiobase,,,factor_id:145; extension:air_emissions,5
fbe69391-32aa-5d8f-8285-8d6be10e932e,"NMVOC - non combustion - Industrial paint application, general industry - air",emission/air,kg,air,environmental,True,Exiobase,,,factor_id:146; extension:air_emissions,5
e8ee6696-63a9-51c1-9b95-110544af9a5f,"NMVOC - non combustion - Inorganic chemical industry, fertilizers and other - air",emission/air,kg,air,environmental,True,Exiobase,,,factor_id:147; extension:air_emissions,5
4975ecb6-33b9-56d6-99b8-e0532d43c5a0,NMVOC - non combustion - Leather coating - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:148; extension:air_emissions,5
6bbb77f5-4f9f-56b8-95ee-fb3070012e81,NMVOC - non combustion - Manufacture of automobiles - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:149; extension:air_emissions,5
fcc4bb17-9144-5683-b587-8db4333401e6,NMVOC - non combustion - Mutton and lamb - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:150; extension:air_emissions,5
e8b960e5-1319-5436-9f12-d9f2e237a971,NMVOC - non combustion - Oil refinery - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:151; extension:air_emissions,5
a916bfea-019c-53a5-a336-3488724297c0,NMVOC - non combustion - Organic chemical industry - downstream units - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:152; extension:air_emissions,5
f2fffeca-4411-5afe-9d1a-f3417b9f4961,"NMVOC - non combustion - Organic chemical industry, storage - air",emission/air,kg,air,environmental,True,Exiobase,,,factor_id:153; extension:air_emissions,5
5e8cd696-3c47-5146-9848-acd73eb8dc7b,NMVOC - non combustion - Other industrial use of solvents - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:154; extension:air_emissions,5
56223f4b-4935-5342-96ac-14d11ba550d2,NMVOC - non combustion - Pharmaceutical industry - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:155; extension:air_emissions,5
f2ed0fba-cf18-54d1-97c1-34b1509833c2,NMVOC - non combustion - Polystyrene processing - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:156; extension:air_emissions,5
d8c2a231-e362-52b7-90b7-3a7c64d442cd,NMVOC - non combustion - Polyvinylchloride produceduction by suspension process - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:157; extension:air_emissions,5
8ccc6cac-13ea-57f9-a26b-08e6cef0945e,NMVOC - non combustion - Pork - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:158; extension:air_emissions,5
8b99d43d-d936-5623-8935-c3caeb80f0d0,"NMVOC - non combustion - Poultry, dressed - air",emission/air,kg,air,environmental,True,Exiobase,,,factor_id:159; extension:air_emissions,5
5ffad4a7-8e97-5704-b43c-9034873cd8d9,"NMVOC - non combustion - Printing, offset - air",emission/air,kg,air,environmental,True,Exiobase,,,factor_id:160; extension:air_emissions,5
099aa684-e40b-5a74-b1dc-c69a00b9594e,NMVOC - non combustion - Products incorporating solvents - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:161; extension:air_emissions,5
2d3f05e5-204d-548a-ac4a-f1cf8fb819f5,NMVOC - non combustion - Raw sugar - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:162; extension:air_emissions,5
a59cac53-e903-59d8-b515-c3db34250fd9,NMVOC - non combustion - Rotogravure in publication - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:163; extension:air_emissions,5
3482bb93-6920-528e-ae2e-4f52f121b59f,NMVOC - non combustion - Screen printing - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:164; extension:air_emissions,5
7d6cd9c8-6f75-5287-91d3-b2c045777e1f,NMVOC - non combustion - Steam cracking (ethylene and propylene production) - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:165; extension:air_emissions,5
cc43f796-bbcc-5c67-84cd-b15daf27678b,NMVOC - non combustion - Synthetic rubber - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:166; extension:air_emissions,5
ac15aa73-9d0f-502f-af8f-1d4dfea20a37,NMVOC - non combustion - Tyre production - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:167; extension:air_emissions,5
956aae19-5121-5689-917e-769bc323fa30,NMVOC - non combustion - Vehicle refinishing - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:168; extension:air_emissions,5
88b1217d-7d3f-58c8-abc7-2d99fb0e831a,NMVOC - non combustion - Wire coating - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:169; extension:air_emissions,5
8e618378-6a3a-58bc-af20-7b89cbd34084,PCDD/F - combustion - air,emission/air,kg,air,environmental,True,Exiobase,,,factor_id:23; extension:air_emissions,5
5db0a1cd-8725-57c0-8184-c1d7ced90e55,PFC - air,emission/air,kg CO2-eq,air,environmental,True,Exiobase,,,factor_id:407; extension:air_emissions,5
27470622-9f04-580e-85b1-9234769bb314,Artificial Surfaces,resource/land,km2,land,resource,True,Exiobase,,,factor_id:421; extension:land,4
f289f412-1fb8-533e-8adf-5242685b9bf7,Cropland - cropped area - Cereal grains nec,resource/land,km2,land,resource,True,Exiobase,,,factor_id:422; extension:land,4
31d0dc0a-554b-562d-8163-9f5b2f337671,Cropland - cropped area - Crops nec,resource/land,km2,land,resource,True,Exiobase,,,factor_id:423; extension:land,4
c043f804-a4a4-5b95-a5d2-78c59e7b39ba,Cropland - cropped area - Oil seeds,resource/land,km2,land,resource,True,Exiobase,,,factor_id:424; extension:land,4
67f8d3cc-edfb-5678-9a44-34f1be964cda,Cropland - cropped area - Paddy rice,resource/land,km2,land,resource,True,Exiobase,,,factor_id:425; extension:land,4
6ecaef31-fed2-5995-998b-39b7a29a1ecb,Cropland - cropped area - Plant-based fibers,resource/land,km2,land,resource,True,Exiobase,,,factor_id:426; extension:land,4
6a80ef03-6367-57b5-9fa4-44ed62876856,"Cropland - cropped area - Sugar cane, sugar beet",resource/land,km2,land,resource,True,Exiobase,,,factor_id:427; extension:land,4
cc936a5e-97a6-5101-a0f3-21ba5c9e748f,"Cropland - cropped area - Vegetables, fruit, nuts",resource/land,km2,land,resource,True,Exiobase,,,factor_id:428; extension:land,4
27526e6e-7d78-5370-b1f8-8a2bf53ba19f,Cropland - cropped area - Wheat,resource/land,km2,land,resource,True,Exiobase,,,factor_id:429; extension:land,4
c885cb61-0ed3-5305-a260-c135b2b87da9,Cropland - fallowed area - Cereal grains nec,resource/land,km2,land,resource,True,Exiobase,,,factor_id:430; extension:land,4
b073dad6-0b54-5046-addb-55dd6780a709,Cropland - fallowed area - Crops nec,resource/land,km2,land,resource,True,Exiobase,,,factor_id:431; extension:land,4
f3b38810-c546-5e04-8d4d-bf3ee42815fc,Cropland - fallowed area - Oil seeds,resource/land,km2,land,resource,True,Exiobase,,,factor_id:432; extension:land,4
0a95844b-49c3-5b45-b2c0-70505e60fd2a,Cropland - fallowed area - Paddy rice,resource/land,km2,land,resource,True,Exiobase,,,factor_id:433; extension:land,4
c4251c08-4ccd-5cba-9c25-9c8de5d2bf32,Cropland - fallowed area - Plant-based fibers,resource/land,km2,land,resource,True,Exiobase,,,factor_id:434; extension:land,4
700157bc-0fae-5f2c-8f1c-053d49ce23ca,"Cropland - fallowed area - Sugar cane, sugar beet",resource/land,km2,land,resource,True,Exiobase,,,factor_id:435; extension:land,4
801d9b79-8c19-544c-9da1-6b72ff220f2f,"Cropland - fallowed area - Vegetables, fruit, nuts",resource/land,km2,land,resource,True,Exiobase,,,factor_id:436; extension:land,4
8951a60c-359f-5432-ac97-5904e046e601,Cropland - fallowed area - Wheat,resource/land,km2,land,resource,True,Exiobase,,,factor_id:437; extension:land,4
02cd1acc-2934-5d03-a8af-8f9872f15558,Cropland - fallowed area-Cattle,resource/land,km2,land,resource,True,Exiobase,,,factor_id:438; extension:land,4
0d535d1c-8348-5272-87a3-75405e173d8b,Cropland - fallowed area-Meat animals nec,resource/land,km2,land,resource,True,Exiobase,,,factor_id:439; extension:land,4
82f7b67b-34f3-59c3-a35c-e731e3364ec8,Cropland - fallowed area-Pigs,resource/land,km2,land,resource,True,Exiobase,,,factor_id:440; extension:land,4
b72259a4-0c2c-5243-aa7c-f189fc720e68,Cropland - fallowed area-Poultry,resource/land,km2,land,resource,True,Exiobase,,,factor_id:441; extension:land,4
82f59e04-0bd9-58cb-826c-310d290ed1cd,Cropland - fallowed area-Raw milk,resource/land,km2,land,resource,True,Exiobase,,,factor_id:442; extension:land,4
131c8ae3-5c87-5938-a818-9d35bf84b3a9,Domestic Extraction Used - Crop residues - Other crop residues (sugar and fodder beet leaves etc),resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:461; extension:material,4
967fd1dd-afd9-52eb-93b2-980b31f1661d,Domestic Extraction Used - Crop residues - Straw,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:460; extension:material,4
093ba718-f0fb-5bad-952d-a9c0a9bec830,Domestic Extraction Used - Fishery - All other aquatic animals,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:468; extension:material,4
1cc7a758-5716-5084-b56a-50838c7078a9,Domestic Extraction Used - Fishery - Aquatic plants,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:469; extension:material,4
cdee3fc2-e8b9-5fe9-b94c-69028acd147a,Domestic Extraction Used - Fishery - Wild fish catch,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:467; extension:material,4
d434b8a8-c57b-550b-95f0-9bdb86b36c1e,Domestic Extraction Used - Fodder crops (including biomass harvest from grassland),resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:462; extension:material,4
e41a040c-c42f-5d12-aeb1-f779ea39f82c,Domestic Extraction Used - Forestry - Other crops n.e.c,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:464; extension:material,4
d3321eda-f04f-5118-86c3-2477d3d6f694,Domestic Extraction Used - Forestry - Timber (Industrial roundwood),resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:465; extension:material,4
c8d9d0b3-d286-561f-a330-0c9c1cc5dd83,Domestic Extraction Used - Forestry - Wood fuel and other extraction,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:466; extension:material,4
fd8531a8-d171-553a-b5df-acb1802ac4b4,Domestic Extraction Used - Grazed biomass,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:463; extension:material,4
b1ea9546-1c11-507c-ba04-e502d8284146,Domestic Extraction Used - Metal Ores - Bauxite and other aluminium ores - gross ore,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:484; extension:material,4
c07a8dc0-4b51-59f9-97d3-4b1d6811c475,Domestic Extraction Used - Metal Ores - Chromium ores,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:491; extension:material,4
70be95b4-ddb1-5e19-9e93-25be375e8def,Domestic Extraction Used - Metal Ores - Copper ores,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:482; extension:material,4
50c56890-1006-5bf9-8504-af6905e5af41,Domestic Extraction Used - Metal Ores - Gold ores,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:486; extension:material,4
c5c9f0ca-92a1-584a-9199-bd5a4e5fff3d,Domestic Extraction Used - Metal Ores - Iron ores,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:481; extension:material,4
2f10b81e-798e-57b2-a00f-4ba828d3c7f6,Domestic Extraction Used - Metal Ores - Lead ores,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:488; extension:material,4
ea4d44d9-6a42-53c2-bbd7-8bd2c1110760,Domestic Extraction Used - Metal Ores - Manganese ores,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:492; extension:material,4
2f3c5b94-7560-5287-b49f-a6eb5c8d0a76,Domestic Extraction Used - Metal Ores - Nickel ores,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:483; extension:material,4
74899123-b3ee-593c-9715-1f666b39ff67,Domestic Extraction Used - Metal Ores - Other metal ores,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:493; extension:material,4
1e810b22-d3ad-5bfa-9f7f-806953fe72a9,Domestic Extraction Used - Metal Ores - Platinum group metal ores,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:487; extension:material,4
4c500710-6266-5169-9af9-df3fec610e0d,Domestic Extraction Used - Metal Ores - Silver ores,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:485; extension:material,4
69c1f2c4-a000-5a39-8ee8-1864e6ee7e7b,Domestic Extraction Used - Metal Ores - Tin ores,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:489; extension:material,4
bd151af7-372e-5dba-bd95-dbc2d2aa33a3,Domestic Extraction Used - Metal Ores - Titanium ores,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:494; extension:material,4
0d583655-7ad2-53a8-a0f7-14230cf8cc8a,Domestic Extraction Used - Metal Ores - Uranium ores,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:480; extension:material,4
55072248-3ea1-56d4-846b-ce905b41439b,Domestic Extraction Used - Metal Ores - Zinc ores,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:490; extension:material,4
d1e29ceb-222e-5d76-8649-77d78292f3df,Domestic Extraction Used - Primary Crops - Cereals n.e.c.,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:449; extension:material,4
79b856e4-803a-543f-9c10-f1e15f7c7c59,Domestic Extraction Used - Primary Crops - Fibres,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:457; extension:material,4
ad71f509-5033-56c4-b3b7-6a9dcc01881e,Domestic Extraction Used - Primary Crops - Fruits,resource/natural,kt,natural resources,resource,True,Exiobase,,,factor_id:454; extension:material,4
