trade_id,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,land,material,water,impact_intensity
44110,FR,DK,FABRI,PAPE1,0.01,2236.742,3,3,2236.742,0.0,0.0,0.0,0.0,223674.2
11693,FR,BE,RECRE,TRAN2,0.02,2236.703,3,3,2236.703,0.0,0.0,0.0,0.0,111835.15
150313,FR,WA,WEARI,NATU1,0.03,2236.682,3,3,2236.682,0.0,0.0,0.0,0.0,74556.066667
94016,FR,LU,ELEC4,BEVER,0.01,2236.659,3,3,2236.659,0.0,0.0,0.0,0.0,223665.9
62718,FR,GR,BEVER,POSTT,0.01,2236.519,3,3,2236.519,0.0,0.0,0.0,0.0,223651.9
77397,FR,IN,VEGET,HOTEL,0.01,2236.388,3,3,2236.388,0.0,0.0,0.0,0.0,223638.8
9969,FR,BE,MEAT4,FOODW,0.01,2236.212,3,3,2236.212,0.0,0.0,0.0,0.0,223621.2
113377,FR,PL,SUPPO,FOOD2,0.02,2236.154,3,3,2236.154,0.0,0.0,0.0,0.0,111807.7
62701,FR,GR,BEVER,ELECT,0.01,2236.064,3,3,2236.064,0.0,0.0,0.0,0.0,223606.4
50801,FR,ES,INERT,FISHF,0.01,2235.947,3,3,2235.947,0.0,0.0,0.0,0.0,223594.7
74796,FR,IN,AUXIL,OFFIC,0.04,2235.898,3,3,2235.898,0.0,0.0,0.0,0.0,55897.45
124179,FR,SE,AUXIL,PIGS9,0.04,2235.878,3,3,2235.878,0.0,0.0,0.0,0.0,55896.95
24584,FR,CH,OILHA,FINAN,0.01,2235.847,3,3,2235.847,0.0,0.0,0.0,0.0,223584.7
157959,FR,WF,PLAS2,RESEA,0.01,2235.784,3,3,2235.784,0.0,0.0,0.0,0.0,223578.4
21951,FR,CH,COMPU,GLASS,0.04,2235.54,3,3,2235.54,0.0,0.0,0.0,0.0,55888.5
99685,FR,MX,INSUR,AUXIL,0.04,2235.472,3,3,2235.472,0.0,0.0,0.0,0.0,55886.8
171790,FR,WM,VEGE1,93197,0.02,2235.381,4,4,2235.373,0.0,0.0,0.0,0.008,111769.05
15893,FR,BR,BUSIN,LUBRI,0.03,2235.328,3,3,2235.328,0.0,0.0,0.0,0.0,74510.933333
55550,FR,FI,FABRI,AUXIL,0.01,2235.311,3,3,2235.311,0.0,0.0,0.0,0.0,223531.1
76563,FR,IN,PRINT,SALEM,0.04,2235.276,3,3,2235.276,0.0,0.0,0.0,0.0,55881.9
97644,FR,MT,HOTEL,RESEA,0.02,2234.898,3,3,2234.898,0.0,0.0,0.0,0.0,111744.9
134235,FR,TR,FOOD5,BUSIN,0.01,2234.893,3,3,2234.893,0.0,0.0,0.0,0.0,223489.3
136652,FR,TR,SEWAG,NONME,0.01,2234.62,3,3,2234.62,0.0,0.0,0.0,0.0,223462.0
157622,FR,WF,OILHA,MOTO1,0.01,2234.573,3,3,2234.573,0.0,0.0,0.0,0.0,223457.3
107001,FR,NO,DAIRY,DISTR,0.01,2234.539,3,3,2234.539,0.0,0.0,0.0,0.0,223453.9
134585,FR,TR,HOTEL,WOOD2,0.02,2234.484,3,3,2234.484,0.0,0.0,0.0,0.0,111724.2
105112,FR,NL,RESEA,WEARI,0.03,2234.47,3,3,2234.47,0.0,0.0,0.0,0.0,74482.333333
11811,FR,BE,RESEA,COPP1,0.03,2234.468,3,3,2234.468,0.0,0.0,0.0,0.0,74482.266667
90889,FR,KR,RECRE,FURNI,0.02,2234.332,3,3,2234.332,0.0,0.0,0.0,0.0,111716.6
143725,FR,US,WOOD1,CRUDE,0.01,2234.239,3,3,2234.239,0.0,0.0,0.0,0.0,223423.9
148884,FR,WA,RENTI,BEVER,0.02,2234.124,3,3,2234.124,0.0,0.0,0.0,0.0,111706.2
131457,FR,SK,HOTEL,WEARI,0.02,2234.115,3,3,2234.115,0.0,0.0,0.0,0.0,111705.75
65774,FR,HR,FINAN,FINAN,0.04,2234.026,3,3,2234.026,0.0,0.0,0.0,0.0,55850.65
28932,FR,CN,LANDT,FINAN,0.01,2233.831,3,3,2233.831,0.0,0.0,0.0,0.0,223383.1
64947,FR,GR,TEXTI,93197,0.02,2233.686,3,3,2233.686,0.0,0.0,0.0,0.0,111684.3
66730,FR,HR,SALEM,WOODW,0.02,2233.346,3,3,2233.346,0.0,0.0,0.0,0.0,111667.3
66560,FR,HR,RETA1,DIST1,0.02,2233.273,3,3,2233.273,0.0,0.0,0.0,0.0,111663.65
26784,FR,CN,ADDIT,ELEC2,0.01,2233.227,3,3,2233.227,0.0,0.0,0.0,0.0,223322.7
42741,FR,DE,TEXT1,ALUM1,0.01,2233.167,3,3,2233.167,0.0,0.0,0.0,0.0,223316.7
80702,FR,IT,INERT,BEVER,0.01,2233.15,3,3,2233.15,0.0,0.0,0.0,0.0,223315.0
19413,FR,CA,FOOD5,ELECT,0.01,2233.072,3,3,2233.072,0.0,0.0,0.0,0.0,223307.2
151028,FR,WE,CHEM1,RECRE,0.01,2232.981,3,3,2232.981,0.0,0.0,0.0,0.0,223298.1
155353,FR,WF,DAIRY,CEREA,0.01,2232.736,3,3,2232.736,0.0,0.0,0.0,0.0,223273.6
143288,FR,US,SEWAG,INSUR,0.01,2232.704,3,3,2232.704,0.0,0.0,0.0,0.0,223270.4
107821,FR,NO,MACHI,RAWMI,0.02,2232.64,3,3,2232.64,0.0,0.0,0.0,0.0,111632.0
154554,FR,WF,BUSIN,FORES,0.03,2232.575,3,3,2232.575,0.0,0.0,0.0,0.0,74419.166667
171593,FR,WM,TEXTI,SANDC,0.02,2232.414,3,3,2232.414,0.0,0.0,0.0,0.0,111620.7
71645,FR,ID,POSTT,WEARI,0.04,2232.413,3,3,2232.413,0.0,0.0,0.0,0.0,55810.325
7929,FR,BE,ELEC5,FORES,0.01,2232.232,3,3,2232.232,0.0,0.0,0.0,0.0,223223.2
39347,FR,DE,INSUR,MEATA,0.04,2232.204,3,3,2232.204,0.0,0.0,0.0,0.0,55805.1
5507,FR,AU,RUBBE,PROCE,0.01,2232.179,3,3,2232.179,0.0,0.0,0.0,0.0,223217.9
6536,FR,BE,BIODI,MOTO1,0.01,2232.134,3,3,2232.134,0.0,0.0,0.0,0.0,223213.4
128627,FR,SI,DAIRY,FINAN,0.01,2232.075,3,3,2232.075,0.0,0.0,0.0,0.0,223207.5
