flow_uuid,flowable,context,unit,compartment,flow_class,preferred,external_reference,cas_number,formula,synonyms,trade_relevance
bc91ed4f-e3ed-5cc8-80df-eec9cd69ceb6,Water Consumption Blue - Agriculture - other crops,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:549; extension:water,14
142482ae-58a0-5408-8cf0-9994096ee8c3,Water Consumption Blue - Agriculture - pulses,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:543; extension:water,14
4ea3c5e2-9e25-5698-aead-9002c1e0b9fc,Water Consumption Blue - Agriculture - rice,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:538; extension:water,14
08890c2f-b35a-52e0-9a79-bc0a6e6e1c8e,Water Consumption Blue - Agriculture - roots and tubers,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:541; extension:water,14
3ab8d443-b201-512f-8930-db86d13a6850,Water Consumption Blue - Agriculture - sugar crops,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:542; extension:water,14
29b5fb61-596f-554a-a9b4-19affd9296f0,Water Consumption Blue - Agriculture - vegetables,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:546; extension:water,14
4d3ff0b5-b8cd-5117-a283-52ce3b6ac839,Water Consumption Blue - Agriculture - wheat,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:539; extension:water,14
aaff8cd4-b713-5db4-a6e4-26681e2c4030,Water Consumption Blue - Domestic - domestic Water Consumption Blue,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:640; extension:water,14
52cbb021-e949-54d6-8068-52c0b943efa2,Water Consumption Blue - Electricity - once-through - Electricity by Geothermal,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:638; extension:water,14
b5dcf265-70b1-59f6-87a9-028d012707d6,Water Consumption Blue - Electricity - once-through - Electricity by biomass and waste,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:634; extension:water,14
4d4a9d00-fd36-5814-a47f-64d700175367,Water Consumption Blue - Electricity - once-through - Electricity by coal,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:628; extension:water,14
ba2d568d-11bf-52bb-ad19-d529a6a4f4e9,Water Consumption Blue - Electricity - once-through - Electricity by gas,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:629; extension:water,14
5aa8cc72-b60f-5a0f-8c0a-aed2e27982b4,Water Consumption Blue - Electricity - once-through - Electricity by hydro,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:631; extension:water,14
476e2893-f7be-5642-ac80-91160c6baa5a,Water Consumption Blue - Electricity - once-through - Electricity by nuclear,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:630; extension:water,14
a852c517-740e-5e24-a75c-6a29ac05d6ce,Water Consumption Blue - Electricity - once-through - Electricity by petroleum and other oil derivatives,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:633; extension:water,14
61d0ecca-8d03-5f89-b450-c76bf553133d,Water Consumption Blue - Electricity - once-through - Electricity by solar photovoltaic,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:635; extension:water,14
56715723-f6f6-5755-8600-dc5d6c2a44c5,Water Consumption Blue - Electricity - once-through - Electricity by solar thermal,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:636; extension:water,14
86bc95bc-6768-5a8c-a204-8197fc137f60,"Water Consumption Blue - Electricity - once-through - Electricity by tide, wave, ocean",resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:637; extension:water,14
25e4724c-9749-5b1a-84a3-11381da16f49,Water Consumption Blue - Electricity - once-through - Electricity by wind,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:632; extension:water,14
a043143c-7e8a-55ce-af34-97bfae5eb52c,Water Consumption Blue - Electricity - once-through - Electricity nec,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:639; extension:water,14
60e9898f-535c-5763-aa5e-21eb855334e2,Water Consumption Blue - Electricity - tower - Electricity by Geothermal,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:626; extension:water,14
4b0e8f59-4aae-5e2b-9873-4c448a880a1f,Water Consumption Blue - Electricity - tower - Electricity by biomass and waste,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:622; extension:water,14
c518e374-acca-54c7-82aa-71589c7341bc,Water Consumption Blue - Electricity - tower - Electricity by coal,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:616; extension:water,14
b9795ead-24f3-55c6-9d64-f2641edfb3bc,Water Consumption Blue - Electricity - tower - Electricity by gas,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:617; extension:water,14
bee3c072-5397-52c4-909c-b5d0f9e48fbe,Water Consumption Blue - Electricity - tower - Electricity by hydro,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:619; extension:water,14
0d51e80b-c616-5a76-a882-a9e5e1984cf8,Water Consumption Blue - Electricity - tower - Electricity by nuclear,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:618; extension:water,14
67475b4d-4d4b-56ee-80d6-8288f1c7c888,Water Consumption Blue - Electricity - tower - Electricity by petroleum and other oil derivatives,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:621; extension:water,14
56be72b3-05a7-5f70-ab49-fd6ef525850a,Water Consumption Blue - Electricity - tower - Electricity by solar photovoltaic,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:623; extension:water,14
b3406a49-753a-56d3-80f8-51baf6494809,Water Consumption Blue - Electricity - tower - Electricity by solar thermal,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:624; extension:water,14
079e77a1-9fb9-5658-98f7-8dcfb387489d,"Water Consumption Blue - Electricity - tower - Electricity by tide, wave, ocean",resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:625; extension:water,14
4b1d094e-1bbc-547f-abc8-93eb6507fc50,Water Consumption Blue - Electricity - tower - Electricity by wind,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:620; extension:water,14
d76c7e3c-9be0-565b-a49b-14565dde92f8,Water Consumption Blue - Electricity - tower - Electricity nec,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:627; extension:water,14
922770b3-f83f-5049-bedd-dedf9fdf5475,Water Consumption Blue - Livestock - buffaloes,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:556; extension:water,14
e9e8b023-b55e-5046-870f-a1ef71f99764,Water Consumption Blue - Livestock - camels,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:557; extension:water,14
843d97f8-887b-573e-bdd4-78d5c86fc2c1,Water Consumption Blue - Livestock - chicken,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:559; extension:water,14
480601b8-df50-5a64-835c-6d10854e0841,Water Consumption Blue - Livestock - dairy cattle,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:551; extension:water,14
7fac20ff-2bb2-53f2-92c6-6cd0fd0dc2be,Water Consumption Blue - Livestock - ducks,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:561; extension:water,14
6724cc2e-997d-5ac8-a498-7f8d5b770057,Water Consumption Blue - Livestock - geese,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:562; extension:water,14
e8e1041b-d150-5c7d-bd52-523b94cf96f4,Water Consumption Blue - Livestock - goats,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:555; extension:water,14
1c85836a-c10b-5ee5-9e6f-6613dffcaa01,Water Consumption Blue - Livestock - horses,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:558; extension:water,14
b071e950-1926-55d3-90d7-5b4f2da0e078,Water Consumption Blue - Livestock - nondairy cattle,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:552; extension:water,14
fda5efa5-3c7d-59da-8abe-32b0f9c653d5,Water Consumption Blue - Livestock - pigs,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:553; extension:water,14
4e11d292-7428-5bf5-b001-3d5e5333bbdf,Water Consumption Blue - Livestock - sheep,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:554; extension:water,14
53e846ea-9847-5759-ba88-29ad13a5dedc,Water Consumption Blue - Livestock - turkeys,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:560; extension:water,14
70bbe5af-14a5-5b3b-8d81-e71e0bf8d774,Water Consumption Blue - Manufacturing - Aluminium and aluminium products,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:599; extension:water,14
4528d84f-33bc-5f2c-8103-858ce5a0194c,"Water Consumption Blue - Manufacturing - Ash for treatment, Re-processing of ash into clinker",resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:593; extension:water,14
30a7bea5-c032-51ef-baa8-b0a49f24c42c,Water Consumption Blue - Manufacturing - Basic iron and steel and of ferro-alloys and first products thereof,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:595; extension:water,14
496d07dd-6532-593a-982b-ae29e3fc564b,Water Consumption Blue - Manufacturing - Beverages,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:572; extension:water,14
7e388c31-519f-5e35-a9af-76dc95d833c5,"Water Consumption Blue - Manufacturing - Bricks, tiles and construction products, in baked clay",resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:591; extension:water,14
6bd4d592-c78f-58c5-956b-d1eb423cfa43,"Water Consumption Blue - Manufacturing - Cement, lime and plaster",resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:592; extension:water,14
0d7f8804-aadf-5523-8292-52ec126fe00a,Water Consumption Blue - Manufacturing - Ceramic goods,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:590; extension:water,14
eada68cf-e8dc-5498-8e94-698a160e9696,Water Consumption Blue - Manufacturing - Chemicals nec,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:586; extension:water,14
214c318f-5a34-5dfd-962e-3264b5d068c8,Water Consumption Blue - Manufacturing - Copper products,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:603; extension:water,14
e7a8fb2c-1f35-5a57-985c-9908f194870b,Water Consumption Blue - Manufacturing - Dairy products,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:568; extension:water,14
9da779f1-e799-599e-977d-79684d440f2b,Water Consumption Blue - Manufacturing - Electrical machinery and apparatus n.e.c. (31),resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:610; extension:water,14
df45a410-1c64-5a28-892d-bbef6bbd8a4e,"Water Consumption Blue - Manufacturing - Fabricated metal products, except machinery and equipment (28)",resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:607; extension:water,14
510ab989-d3f0-599b-b72f-0cdf88877ae2,Water Consumption Blue - Manufacturing - Fish products,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:573; extension:water,14
7517170e-6529-5b28-8a87-853f13b4cb38,Water Consumption Blue - Manufacturing - Food products nec,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:571; extension:water,14
48209ccc-d4d1-54a6-9bfe-c21969fc7460,Water Consumption Blue - Manufacturing - Furniture; other manufactured goods n.e.c. (36),resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:615; extension:water,14
fdef4127-21b7-59b8-b29b-6dab4151c4e4,Water Consumption Blue - Manufacturing - Glass and glass products,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:588; extension:water,14
811d7e49-c99e-5f5e-b82e-f7608e28648f,"Water Consumption Blue - Manufacturing - Lead, zinc and tin and products thereof",resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:601; extension:water,14
f0a51107-6f81-5d05-b0de-4725af85a9f6,Water Consumption Blue - Manufacturing - Leather and leather products (19),resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:577; extension:water,14
6c43933f-31fe-5b2c-a8d0-5e5a30a5babc,Water Consumption Blue - Manufacturing - Machinery and equipment n.e.c. (29),resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:608; extension:water,14
197dc2d0-1e94-5feb-92c2-5d93e919a76e,Water Consumption Blue - Manufacturing - Meat products nec,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:566; extension:water,14
148c5db9-d321-5d9b-98c2-9688d1f9e961,"Water Consumption Blue - Manufacturing - Medical, precision and optical instruments, watches and clocks (33)",resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:612; extension:water,14
e2ddd157-a741-5ab9-b640-74087eb92979,"Water Consumption Blue - Manufacturing - Motor vehicles, trailers and semi-trailers (34)",resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:613; extension:water,14
5399fb9e-c27d-5d65-8c7b-19cf4bab1480,Water Consumption Blue - Manufacturing - N-fertiliser,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:584; extension:water,14
bcae2114-1e93-5a00-916c-724108ab0b0f,Water Consumption Blue - Manufacturing - Office machinery and computers (30),resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:609; extension:water,14
68a09253-dc97-52f7-a812-5f6644fc158d,Water Consumption Blue - Manufacturing - Other non-ferrous metal products,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:605; extension:water,14
1444feaa-e069-53a8-87d2-fec2789ed564,Water Consumption Blue - Manufacturing - Other non-metallic mineral products,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:594; extension:water,14
807bb01c-b0de-54f7-aa6b-8979906429b6,Water Consumption Blue - Manufacturing - Other transport equipment (35),resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:614; extension:water,14
7a492bf6-0548-5be5-b02a-4ed186ba79e3,Water Consumption Blue - Manufacturing - P- and other fertiliser,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:585; extension:water,14
b92074cb-0ab1-51c9-959f-78ccb8914ce3,Water Consumption Blue - Manufacturing - Paper and paper products,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:580; extension:water,14
fc59e266-6554-5399-bcf1-f8966da2e167,"Water Consumption Blue - Manufacturing - Plastics, basic",resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:582; extension:water,14
34703e9a-c51f-5ce2-8e1f-8cf540739a9b,Water Consumption Blue - Manufacturing - Precious metals,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:597; extension:water,14
3605be08-57f2-55a8-b583-427bb5838e1b,Water Consumption Blue - Manufacturing - Printed matter and recorded media (22),resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:581; extension:water,14
5d59421f-0eec-5109-baad-c6b40ea3fbd4,Water Consumption Blue - Manufacturing - Processed rice,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:569; extension:water,14
87e0d707-bbf5-592b-b965-d6de1dc71048,Water Consumption Blue - Manufacturing - Products of meat cattle,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:563; extension:water,14
440cf851-7597-590d-8894-1528fdd2a1ff,Water Consumption Blue - Manufacturing - Products of meat pigs,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:564; extension:water,14
393b4393-de75-5fb6-a08b-67fb5d43d669,Water Consumption Blue - Manufacturing - Products of meat poultry,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:565; extension:water,14
95b62982-0186-522f-9675-2fe1375251eb,Water Consumption Blue - Manufacturing - Pulp,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:578; extension:water,14
807d59f0-8f96-5895-98d5-9906b47fd676,"Water Consumption Blue - Manufacturing - Radio, television and communication equipment and apparatus (32)",resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:611; extension:water,14
0af88845-a4e4-57de-81ec-ee329145a300,Water Consumption Blue - Manufacturing - Rubber and plastic products (25),resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:587; extension:water,14
f222fe64-30e0-5543-831b-c53709f72e42,"Water Consumption Blue - Manufacturing - Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:600; extension:water,14
ea25da7d-5696-52c5-8886-6a12f61d0803,"Water Consumption Blue - Manufacturing - Secondary copper for treatment, Re-processing of secondary copper into new copper",resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:604; extension:water,14
a8b03b03-1b1d-5f52-879d-591cc4db69ed,"Water Consumption Blue - Manufacturing - Secondary glass for treatment, Re-processing of secondary glass into new glass",resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:589; extension:water,14
9c7b396d-16ab-574d-b07f-77ba329eeaad,"Water Consumption Blue - Manufacturing - Secondary lead for treatment, Re-processing of secondary lead into new lead",resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:602; extension:water,14
1cbeaa33-4032-5794-9dd6-6d89720852f2,"Water Consumption Blue - Manufacturing - Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:606; extension:water,14
44b7a5c0-fc1e-573a-b214-66a247065f31,"Water Consumption Blue - Manufacturing - Secondary paper for treatment, Re-processing of secondary paper into new pulp",resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:579; extension:water,14
0508d293-5e37-5e1f-a0fa-b9e7bea40bae,"Water Consumption Blue - Manufacturing - Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:583; extension:water,14
885bb619-ed7a-5d74-a996-0c223b4797c5,"Water Consumption Blue - Manufacturing - Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:598; extension:water,14
ce6b1c01-567a-5b3a-bbb7-b11cce085e3a,"Water Consumption Blue - Manufacturing - Secondary steel for treatment, Re-processing of secondary steel into new steel",resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:596; extension:water,14
a18941e6-7ef5-5f6f-a7d1-553e60181baf,Water Consumption Blue - Manufacturing - Sugar,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:570; extension:water,14
eddb5c0f-994d-5ea5-8768-29cdcf2122be,Water Consumption Blue - Manufacturing - Textiles (17),resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:575; extension:water,14
2b42c7fe-0f30-5f4a-b94c-00f67e0733b3,Water Consumption Blue - Manufacturing - Tobacco products (16),resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:574; extension:water,14
5757b40d-734a-53d8-a05f-7fc9ae865898,Water Consumption Blue - Manufacturing - Wearing apparel; furs (18),resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:576; extension:water,14
0c5fb4c5-ea43-5422-a9e2-f5d328545eb1,Water Consumption Blue - Manufacturing - products of Vegetable oils and fats,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:567; extension:water,14
34680a02-b6c1-50ac-b8eb-b00a2e4321b8,Water Consumption Green - Agriculture - fibres,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:535; extension:water,14
ceb09379-1b98-5d44-900c-48f078a5313e,Water Consumption Green - Agriculture - fodder crops,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:537; extension:water,14
500eeb5a-aa26-5fc8-9eaa-8d5d122b8cf0,Water Consumption Green - Agriculture - fruits,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:534; extension:water,14
111d5b3d-adc0-518b-8d0d-442212076936,Water Consumption Green - Agriculture - nuts,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:531; extension:water,14
eaee0e16-0cb5-5a94-a211-7673dddf7f69,Water Consumption Green - Agriculture - oil crops,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:532; extension:water,14
f4f1a0a7-82ee-5a0e-89f4-2dc9bfefcecf,Water Consumption Green - Agriculture - other cereals,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:527; extension:water,14
5ed602ac-574f-5c29-b423-3d25c6eaffec,Water Consumption Green - Agriculture - other crops,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:536; extension:water,14
71a01851-7fc8-5a2c-892a-aefb3630f846,Water Consumption Green - Agriculture - pulses,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:530; extension:water,14
65437916-5cbb-557f-8b86-4fcf5fc011b7,Water Consumption Green - Agriculture - rice,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:525; extension:water,14
1cfa474e-3e68-57d4-bf5c-42482931c275,Water Consumption Green - Agriculture - roots and tubers,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:528; extension:water,14
21584edf-2b1c-5a9f-84af-d43181cd6889,Water Consumption Green - Agriculture - sugar crops,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:529; extension:water,14
007a60c3-3c8b-5c53-83b4-8bbb597f765f,Water Consumption Green - Agriculture - vegetables,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:533; extension:water,14
4dafac1d-45dd-5d1a-9955-1ec655c761a6,Water Consumption Green - Agriculture - wheat,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:526; extension:water,14
173f1f9a-8257-5c79-a615-e25a5ac0e097,Water Withdrawal Blue - Domestic - domestic Water Withdrawal Blue,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:718; extension:water,14
f7c294f9-d19e-547e-8580-00a74a8ca4cf,Water Withdrawal Blue - Electricity - once-through - Electricity by Geothermal,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:716; extension:water,14
45e771f4-e0fa-509d-a44e-52cc4f48a6aa,Water Withdrawal Blue - Electricity - once-through - Electricity by biomass and waste,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:712; extension:water,14
763b8fde-1007-54d3-8d99-b8f1b1b32e68,Water Withdrawal Blue - Electricity - once-through - Electricity by coal,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:706; extension:water,14
8b5f3aea-1066-5ea6-a53c-f27a07c021bd,Water Withdrawal Blue - Electricity - once-through - Electricity by gas,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:707; extension:water,14
24ff5a1f-8f09-5a56-93be-0d1fd16b39e0,Water Withdrawal Blue - Electricity - once-through - Electricity by hydro,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:709; extension:water,14
e5ec99fc-154d-52d7-bdef-04a550e4afb6,Water Withdrawal Blue - Electricity - once-through - Electricity by nuclear,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:708; extension:water,14
3cd80cfa-5613-5267-a4ed-e0dbfd5a0ac0,Water Withdrawal Blue - Electricity - once-through - Electricity by petroleum and other oil derivatives,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:711; extension:water,14
22f4e068-5768-53dc-a05f-b530fa1617eb,Water Withdrawal Blue - Electricity - once-through - Electricity by solar photovoltaic,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:713; extension:water,14
2b40a97d-5692-5f17-bacc-5520ca24742c,Water Withdrawal Blue - Electricity - once-through - Electricity by solar thermal,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:714; extension:water,14
0878fc37-756d-54e4-86d3-e9ef0c9106ae,"Water Withdrawal Blue - Electricity - once-through - Electricity by tide, wave, ocean",resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:715; extension:water,14
9e945861-94e7-5af9-8e1a-c4c3a85e4cf6,Water Withdrawal Blue - Electricity - once-through - Electricity by wind,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:710; extension:water,14
4cb9c6e8-996a-544c-ac5d-e35ba1251e3a,Water Withdrawal Blue - Electricity - once-through - Electricity nec,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:717; extension:water,14
6e41debd-9bb6-5cdc-9bcd-ccb8ca972fc6,Water Withdrawal Blue - Electricity - tower - Electricity by Geothermal,resource/water,Mm3,water,resource,True,Exiobase,,,factor_id:704; extension:water,14
