trade_id,region1,region2,industry1,industry2,amount
4552,IN,IN,FORES,WOODW,872.22
4553,IN,IN,FOUND,ALUM1,867.96
11411,IN,IN,WHOLE,HEALT,860.82
4186,IN,IN,FINAN,SUPPO,859.69
4225,IN,IN,FISH5,HOTEL,859.68
1697,IN,IN,CHEM1,WHOLE,858.11
9797,IN,IN,RUBBE,MACHI,857.05
5060,IN,IN,HEALT,FINAN,842.71
3886,IN,IN,ELECT,MACHI,840.01
11453,IN,IN,WHOLE,PREC1,838.66
4168,IN,IN,FINAN,RAILW,838.56
5043,IN,IN,HEALT,COMPU,835.14
1025,IN,IN,BITUM,PREC1,833.56
4982,IN,IN,GLASS,MOTO1,833.52
2244,IN,IN,CONST,POSTT,832.62
408,IN,IN,ANIMA,LEATH,829.98
10529,IN,IN,SUPPO,TEXTI,826.46
638,IN,IN,BASIC,FOUND,823.04
9410,IN,IN,RENTI,FURNI,822.10
1664,IN,IN,CHEM1,PLAST,820.36
10696,IN,IN,TOBAC,TOBAC,818.10
2379,IN,IN,CROPS,ANIMA,814.76
1223,IN,IN,BUSIN,HEALT,810.78
28,IN,IN,93197,COMPU,809.52
9415,IN,IN,RENTI,HOTEL,805.38
2331,IN,IN,COPP1,MACHI,803.40
2805,IN,IN,DISTR,REALE,802.59
1268,IN,IN,BUSIN,PROCE,794.04
10409,IN,IN,SUPPO,AIRTR,791.97
8844,IN,IN,RADIO,FINAN,789.84
9387,IN,IN,RENTI,BUSIN,786.99
1261,IN,IN,BUSIN,PFERT,786.48
3042,IN,IN,ELEC1,TRAN1,784.34
9445,IN,IN,RENTI,POSTT,783.11
4574,IN,IN,FOUND,COPP1,779.79
2281,IN,IN,CONST,WHOLE,778.93
677,IN,IN,BASIC,RADIO,778.81
1455,IN,IN,CERAM,CEMEN,778.21
8960,IN,IN,RAILW,GASDI,774.03
5249,IN,IN,HOTEL,REALE,771.67
1585,IN,IN,CHEM1,93197,771.49
2270,IN,IN,CONST,SUPPO,766.67
4879,IN,IN,GASDI,RETA1,762.44
11400,IN,IN,WHOLE,FINAN,760.29
2041,IN,IN,COLLE,PUBLI,759.31
10564,IN,IN,TEXTI,CONST,759.08
2534,IN,IN,DAIRY,HOTEL,758.92
10970,IN,IN,TRANS,PUBLI,757.88
5543,IN,IN,LANDT,CHEM1,756.94
2759,IN,IN,DISTR,HOTEL,751.86
4053,IN,IN,FABRI,TRANS,751.47
1975,IN,IN,COLLE,EDUCA,750.18
11459,IN,IN,WHOLE,RAILW,746.08
5537,IN,IN,LANDT,BUSIN,741.99
8465,IN,IN,PRINT,WHOLE,731.81
7577,IN,IN,PAPER,EDUCA,731.23
5654,IN,IN,LANDT,WEARI,730.87
5205,IN,IN,HOTEL,HOTEL,729.26
2165,IN,IN,CONST,BUSIN,725.92
4033,IN,IN,FABRI,PUBLI,724.52
9591,IN,IN,RETA1,PUBLI,723.95
5539,IN,IN,LANDT,CEMEN,723.71
9511,IN,IN,RETA1,CHEM1,711.95
4814,IN,IN,GASDI,FINAN,710.11
9620,IN,IN,RETA1,WHOLE,709.66
9536,IN,IN,RETA1,FISH5,708.20
9856,IN,IN,RUBBE,WHOLE,706.61
4890,IN,IN,GASDI,TEXTI,706.01
5612,IN,IN,LANDT,PAPER,704.39
5221,IN,IN,HOTEL,MEMBE,701.55
4121,IN,IN,FINAN,HOTEL,700.73
9597,IN,IN,RETA1,RECRE,700.67
8252,IN,IN,PREC1,ELECT,699.87
7669,IN,IN,PAPER,WHOLE,698.94
2764,IN,IN,DISTR,LANDT,696.94
1381,IN,IN,CEMEN,CEMEN,696.32
4821,IN,IN,GASDI,FURNI,690.43
1850,IN,IN,COKEO,LEAD1,689.56
11558,IN,IN,WOODW,PAPER,689.35
4191,IN,IN,FINAN,TRANS,688.96
554,IN,IN,AUXIL,REALE,688.55
8992,IN,IN,RAILW,PADDY,682.53
7569,IN,IN,PAPER,COMPU,679.70
5033,IN,IN,HEALT,BUSIN,675.38
1590,IN,IN,CHEM1,BASIC,674.61
7523,IN,IN,PADDY,POULT,674.04
4115,IN,IN,FINAN,FURNI,673.01
4530,IN,IN,FORES,RAWMI,671.33
580,IN,IN,AUXIL,WHOLE,670.32
7063,IN,IN,NFERT,PADDY,667.76
8982,IN,IN,RAILW,MOTOR,667.58
4872,IN,IN,GASDI,RAILW,666.79
4592,IN,IN,FOUND,FURNI,663.99
10653,IN,IN,TEXTI,WHOLE,663.18
9603,IN,IN,RETA1,RUBBE,662.86
6845,IN,IN,NAPHT,CHEM1,659.90
11388,IN,IN,WHOLE,DISTR,658.89
11096,IN,IN,VEGET,CHEM1,657.11
9611,IN,IN,RETA1,TOBAC,656.58
7588,IN,IN,PAPER,FINAN,655.11
8082,IN,IN,POSTT,CONST,652.67
2082,IN,IN,COMPU,BUSIN,647.27
549,IN,IN,AUXIL,PUBLI,646.52
7640,IN,IN,PAPER,PUBLI,645.96
11398,IN,IN,WHOLE,ELECT,644.25
262,IN,IN,ALUM1,BASIC,642.46
3989,IN,IN,FABRI,FURNI,637.93
4857,IN,IN,GASDI,PADDY,635.21
9553,IN,IN,RETA1,LANDT,635.14
5657,IN,IN,LANDT,WOODW,634.80
8358,IN,IN,PRINT,BUSIN,634.03
9438,IN,IN,RENTI,PADDY,632.35
10397,IN,IN,SUGAR,SUGA1,632.10
8089,IN,IN,POSTT,EDUCA,627.51
10414,IN,IN,SUPPO,BASIC,626.86
1586,IN,IN,CHEM1,ALUM1,626.15
7263,IN,IN,NONME,NONME,626.15
5540,IN,IN,LANDT,CERAM,621.83
4151,IN,IN,FINAN,PADDY,621.09
998,IN,IN,BITUM,LEAD1,620.10
4178,IN,IN,FINAN,RUBBE,619.90
7559,IN,IN,PAPER,BUSIN,619.43
3341,IN,IN,ELEC4,GASDI,617.95
7639,IN,IN,PAPER,PROCE,617.30
5526,IN,IN,LANDT,ANIMA,614.21
423,IN,IN,ANIMA,PFERT,610.98
475,IN,IN,AUXIL,COMPU,607.25
1018,IN,IN,BITUM,PADDY,600.78
5370,IN,IN,INSUR,LANDT,598.90
5352,IN,IN,INSUR,FINAN,598.89
8720,IN,IN,PUBLI,PUBLI,595.27
4132,IN,IN,FINAN,MACHI,594.88
11365,IN,IN,WHOLE,BITUM,594.26
5556,IN,IN,LANDT,DISTR,594.24
11355,IN,IN,WHOLE,ALUM1,589.77
8118,IN,IN,POSTT,LANDT,587.40
4775,IN,IN,FURNI,WHOLE,587.39
11389,IN,IN,WHOLE,EDUCA,586.35
1619,IN,IN,CHEM1,ELECT,583.66
463,IN,IN,AUXIL,BUSIN,583.32
5549,IN,IN,LANDT,COMPU,581.85
2387,IN,IN,CROPS,BUSIN,581.76
2747,IN,IN,DISTR,FINAN,580.61
2180,IN,IN,CONST,CRUDE,579.31
2811,IN,IN,DISTR,RETA1,579.31
1423,IN,IN,CEMEN,NONME,578.55
4139,IN,IN,FINAN,MEMBE,577.57
11439,IN,IN,WHOLE,NONME,577.42
9465,IN,IN,RENTI,TEXTI,577.04
10398,IN,IN,SUGAR,SUGAR,575.58
36,IN,IN,93197,EDUCA,575.12
11569,IN,IN,WOODW,RADIO,573.50
8818,IN,IN,RADIO,BUSIN,572.68
5376,IN,IN,INSUR,MACHI,569.44
1219,IN,IN,BUSIN,FURNI,567.54
1244,IN,IN,BUSIN,MEMBE,564.06
11383,IN,IN,WHOLE,COPP1,561.88
9429,IN,IN,RENTI,MOTO1,551.86
56,IN,IN,93197,HEALT,547.44
2483,IN,IN,CRUDE,HEAVY,542.03
6071,IN,IN,MACHI,CONST,541.65
7220,IN,IN,NONME,CERAM,541.13
132,IN,IN,AIRTR,AIRTR,539.86
1238,IN,IN,BUSIN,MACHI,538.74
8045,IN,IN,PLAST,RUBBE,537.49
4073,IN,IN,FINAN,BITUM,536.87
10027,IN,IN,SEACO,FISH5,536.77
2046,IN,IN,COLLE,REALE,534.52
5627,IN,IN,LANDT,RAILW,533.82
3364,IN,IN,ELEC4,MOTOR,532.96
4097,IN,IN,FINAN,DISTR,532.71
2147,IN,IN,COMPU,WHOLE,532.02
4079,IN,IN,FINAN,CEMEN,530.69
8916,IN,IN,RAILW,ALUM1,528.37
9002,IN,IN,RAILW,PREC1,526.69
2183,IN,IN,CONST,DISTR,526.33
4065,IN,IN,FINAN,AUXIL,525.46
9567,IN,IN,RETA1,MOTO1,521.88
2832,IN,IN,DISTR,WHOLE,521.85
58,IN,IN,93197,HOTEL,521.53
623,IN,IN,BASIC,DIST1,521.12
129,IN,IN,93197,WHOLE,520.83
5568,IN,IN,LANDT,FINAN,520.72
6825,IN,IN,MOTOR,TRAN1,515.63
4171,IN,IN,FINAN,RECRE,514.63
10485,IN,IN,SUPPO,MOTO1,514.60
8158,IN,IN,POSTT,RECRE,511.54
1626,IN,IN,CHEM1,FURNI,509.30
