trade_id,industry_exports_total,destination_share,export_intensity,destination_count,export_concentration_hhi
50582,966.2,0.000186,0.002874,43,0.02435
120555,9897.74,1.8e-05,0.029443,43,0.039485
38496,9897.74,1.8e-05,0.029443,43,0.039485
72272,5729.35,3.1e-05,0.017043,44,0.011374
70272,1651.48,0.000109,0.004913,45,0.01258
92608,3399.5,5.3e-05,0.010113,44,0.011416
107678,2759.01,6.5e-05,0.008207,43,0.218003
113533,1514.81,0.000119,0.004506,43,0.019632
60034,16163.5,1.1e-05,0.048082,42,0.013194
70963,2807.66,6.4e-05,0.008352,42,0.039009
45333,1137.56,0.000158,0.003384,43,0.048574
2612,781.76,0.00023,0.002326,45,0.007115
51049,1514.81,0.000119,0.004506,43,0.019632
28318,3399.5,5.3e-05,0.010113,44,0.011416
101299,834.99,0.000216,0.002484,42,0.102144
44796,10678.08,1.7e-05,0.031765,43,0.00664
120609,4503.58,4e-05,0.013397,45,0.00429
118985,3495.24,5.1e-05,0.010397,15,0.047651
12631,10678.08,1.7e-05,0.031765,43,0.00664
52244,1204.01,0.00015,0.003582,45,0.010253
82782,9897.74,1.8e-05,0.029443,43,0.039485
99997,1883.34,9.6e-05,0.005602,23,0.264229
78541,781.76,0.00023,0.002326,45,0.007115
52883,22235.86,8e-06,0.066146,44,0.038118
47811,325.5,0.000553,0.000968,45,0.070947
103150,10678.08,1.7e-05,0.031765,43,0.00664
13595,12554.87,1.4e-05,0.037348,16,0.115818
5552,927.62,0.000194,0.002759,43,0.074552
112608,2614.1,6.9e-05,0.007776,42,0.041564
43522,3518.97,5.1e-05,0.010468,44,0.022309
25035,1667.68,0.000108,0.004961,42,0.005249
37904,171.0,0.001053,0.000509,44,0.011191
82949,9249.33,1.9e-05,0.027514,45,0.006681
98931,927.62,0.000194,0.002759,43,0.074552
48751,6658.69,2.7e-05,0.019808,44,0.009234
15690,88.61,0.002031,0.000264,6,0.019065
44435,4503.58,4e-05,0.013397,45,0.00429
76645,9249.33,1.9e-05,0.027514,45,0.006681
75662,1178.62,0.000153,0.003506,41,0.076543
70433,9249.33,1.9e-05,0.027514,45,0.006681
68983,927.62,0.000194,0.002759,43,0.074552
107110,3518.97,5.1e-05,0.010468,44,0.022309
11804,171.0,0.001053,0.000509,44,0.011191
58843,4503.58,4e-05,0.013397,45,0.00429
65984,103.94,0.001732,0.000309,23,0.020993
120021,1204.01,0.00015,0.003582,45,0.010253
31690,3518.97,5.1e-05,0.010468,44,0.022309
36470,966.2,0.000186,0.002874,43,0.02435
76972,5343.4,3.4e-05,0.015895,38,0.26853
13949,108.76,0.001655,0.000324,42,0.036876
76519,5729.35,3.1e-05,0.017043,44,0.011374
64003,22235.86,8e-06,0.066146,44,0.038118
20319,2222.88,8.1e-05,0.006613,44,0.029515
76026,2572.66,7e-05,0.007653,45,0.014234
61022,1138.49,0.000158,0.003387,45,0.006017
60648,1667.68,0.000108,0.004961,42,0.005249
64092,10678.08,1.7e-05,0.031765,43,0.00664
102191,9897.74,1.8e-05,0.029443,43,0.039485
57417,16163.5,1.1e-05,0.048082,42,0.013194
38279,834.99,0.000216,0.002484,42,0.102144
62100,934.33,0.000193,0.002779,40,0.175579
26501,3518.97,5.1e-05,0.010468,44,0.022309
100434,1579.11,0.000114,0.004697,45,0.006045
21019,859.75,0.000209,0.002558,41,0.09672
15404,1767.99,0.000102,0.005259,45,0.044728
42821,16163.5,1.1e-05,0.048082,42,0.013194
69205,5808.38,3.1e-05,0.017278,44,0.022508
54168,6658.69,2.7e-05,0.019808,44,0.009234
72408,1651.48,0.000109,0.004913,45,0.01258
64043,9249.33,1.9e-05,0.027514,45,0.006681
102626,1651.48,0.000109,0.004913,45,0.01258
5832,3488.1,5.2e-05,0.010376,38,0.107874
60872,3399.5,5.3e-05,0.010113,44,0.011416
105067,1494.57,0.00012,0.004446,25,0.013188
4001,9249.33,1.9e-05,0.027514,45,0.006681
119439,231.57,0.000777,0.000689,44,0.00908
40908,3399.5,5.3e-05,0.010113,44,0.011416
3986,9249.33,1.9e-05,0.027514,45,0.006681
67090,9249.33,1.9e-05,0.027514,45,0.006681
7594,6658.69,2.7e-05,0.019808,44,0.009234
26456,231.57,0.000777,0.000689,44,0.00908
58253,231.57,0.000777,0.000689,44,0.00908
98153,1514.81,0.000119,0.004506,43,0.019632
82624,1836.6,9.8e-05,0.005463,45,0.00693
104212,966.2,0.000186,0.002874,43,0.02435
6395,2572.66,7e-05,0.007653,45,0.014234
94887,2591.72,6.9e-05,0.00771,34,0.061847
45191,966.2,0.000186,0.002874,43,0.02435
8115,1883.34,9.6e-05,0.005602,23,0.264229
25049,1667.68,0.000108,0.004961,42,0.005249
49320,73.38,0.002453,0.000218,45,0.005656
79423,1138.49,0.000158,0.003387,45,0.006017
63383,3399.5,5.3e-05,0.010113,44,0.011416
104185,966.2,0.000186,0.002874,43,0.02435
49763,1651.48,0.000109,0.004913,45,0.01258
214,934.33,0.000193,0.002779,40,0.175579
47485,9242.3,1.9e-05,0.027493,42,0.03154
41414,171.0,0.001053,0.000509,44,0.011191
88119,3399.5,5.3e-05,0.010113,44,0.011416
36401,5343.4,3.4e-05,0.015895,38,0.26853
57368,16163.5,1.1e-05,0.048082,42,0.013194
79732,2572.66,7e-05,0.007653,45,0.014234
33117,128.54,0.0014,0.000382,5,0.055763
78273,1238.25,0.000145,0.003683,45,0.016745
44852,10678.08,1.7e-05,0.031765,43,0.00664
119947,107.19,0.001679,0.000319,19,0.078026
121314,103.94,0.001732,0.000309,23,0.020993
33237,2222.88,8.1e-05,0.006613,44,0.029515
19962,10678.08,1.7e-05,0.031765,43,0.00664
62031,22235.86,8e-06,0.066146,44,0.038118
92507,4710.18,3.8e-05,0.014012,37,0.057681
33135,133.24,0.001351,0.000396,5,0.052496
71816,3518.97,5.1e-05,0.010468,44,0.022309
16318,5343.4,3.4e-05,0.015895,38,0.26853
16174,2614.1,6.9e-05,0.007776,42,0.041564
17643,12554.87,1.4e-05,0.037348,16,0.115818
19898,10678.08,1.7e-05,0.031765,43,0.00664
32857,88.61,0.002031,0.000264,6,0.019065
97805,337.87,0.000533,0.001005,32,0.048678
16695,1137.56,0.000158,0.003384,43,0.048574
20364,2614.1,6.9e-05,0.007776,42,0.041564
88610,132.04,0.001363,0.000393,45,0.002523
98275,859.75,0.000209,0.002558,41,0.09672
56114,502.28,0.000358,0.001494,44,0.06417
102355,4503.58,4e-05,0.013397,45,0.00429
5664,3399.5,5.3e-05,0.010113,44,0.011416
41608,3518.97,5.1e-05,0.010468,44,0.022309
36857,6658.69,2.7e-05,0.019808,44,0.009234
76980,5343.4,3.4e-05,0.015895,38,0.26853
51108,1667.68,0.000108,0.004961,42,0.005249
98707,12554.87,1.4e-05,0.037348,16,0.115818
115763,1651.48,0.000109,0.004913,45,0.01258
25426,284.68,0.000632,0.000847,32,0.037935
90414,4503.58,4e-05,0.013397,45,0.00429
72180,4503.58,4e-05,0.013397,45,0.00429
51014,1494.57,0.00012,0.004446,25,0.013188
50486,781.76,0.00023,0.002326,45,0.007115
102144,502.28,0.000358,0.001494,44,0.06417
25241,4710.18,3.8e-05,0.014012,37,0.057681
82233,1579.11,0.000114,0.004697,45,0.006045
89190,9897.74,1.8e-05,0.029443,43,0.039485
16294,5343.4,3.4e-05,0.015895,38,0.26853
47344,6658.69,2.7e-05,0.019808,44,0.009234
12392,1651.48,0.000109,0.004913,45,0.01258
61769,1204.01,0.00015,0.003582,45,0.010253
29537,4503.58,4e-05,0.013397,45,0.00429
111385,2759.01,6.5e-05,0.008207,43,0.218003
21353,3399.5,5.3e-05,0.010113,44,0.011416
45652,5.62,0.032028,1.7e-05,7,0.062873
55984,834.99,0.000216,0.002484,42,0.102144
115870,22235.86,8e-06,0.066146,44,0.038118
24655,1363.54,0.000132,0.004056,44,0.003963
81980,5808.38,3.1e-05,0.017278,44,0.022508
43620,1836.6,9.8e-05,0.005463,45,0.00693
12473,9249.33,1.9e-05,0.027514,45,0.006681
104987,337.87,0.000533,0.001005,32,0.048678
108318,1651.48,0.000109,0.004913,45,0.01258
17800,284.68,0.000632,0.000847,32,0.037935
113135,6658.69,2.7e-05,0.019808,44,0.009234
13606,12554.87,1.4e-05,0.037348,16,0.115818
12228,9897.74,1.8e-05,0.029443,43,0.039485
90005,1579.11,0.000114,0.004697,45,0.006045
73965,1137.56,0.000158,0.003384,43,0.048574
114052,5808.38,3.1e-05,0.017278,44,0.022508
70630,1238.25,0.000145,0.003683,45,0.016745
36706,1137.56,0.000158,0.003384,43,0.048574
110571,3488.1,5.2e-05,0.010376,38,0.107874
42378,1238.25,0.000145,0.003683,45,0.016745
88854,2572.66,7e-05,0.007653,45,0.014234
89940,108.76,0.001655,0.000324,42,0.036876
368,350.87,0.000513,0.001044,24,0.146351
28963,4503.58,4e-05,0.013397,45,0.00429
86327,1767.99,0.000102,0.005259,45,0.044728
52026,73.38,0.002453,0.000218,45,0.005656
92106,1363.54,0.000132,0.004056,44,0.003963
121438,1138.49,0.000158,0.003387,45,0.006017
73962,1137.56,0.000158,0.003384,43,0.048574
62256,10678.08,1.7e-05,0.031765,43,0.00664
111564,502.28,0.000358,0.001494,44,0.06417
8881,9249.33,1.9e-05,0.027514,45,0.006681
56304,4503.58,4e-05,0.013397,45,0.00429
