trade_id,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,material,impact_intensity
17421,KR,CN,RADIO,TRANS,199.2,131.0,1.0,1.0,131.0,0.657631
83830,KR,WA,LEAD1,MEATP,56.89,130.0,1.0,1.0,130.0,2.285112
78695,KR,US,LEAD1,CONST,56.8,130.0,1.0,1.0,130.0,2.288732
79481,KR,US,PAPER,PAPER,154.97,129.0,1.0,1.0,129.0,0.832419
85464,KR,WA,PLAST,MEAT4,304.02,129.0,1.0,1.0,129.0,0.424314
14451,KR,CN,BASIC,CRUDE,147.66,129.0,1.0,1.0,129.0,0.873629
14848,KR,CN,CHEM1,WEARI,407.56,129.0,1.0,1.0,129.0,0.316518
82137,KR,WA,COPP1,OFFIC,54.84,129.0,1.0,1.0,129.0,2.352298
17753,KR,CN,SANDC,CEMEN,1.73,128.0,1.0,1.0,128.0,73.988439
17912,KR,CN,TEXTI,RESEA,378.44,127.0,1.0,1.0,127.0,0.335588
42445,KR,IN,FABRI,CONST,256.78,127.0,1.0,1.0,127.0,0.494587
74142,KR,TR,MOTO1,MOTO1,353.0,127.0,1.0,1.0,127.0,0.359773
87344,KR,WA,TEXTI,TEXTI,373.64,126.0,1.0,1.0,126.0,0.337223
79371,KR,US,OFFIC,PRINT,286.48,125.0,1.0,1.0,125.0,0.436331
78946,KR,US,MOTO1,PUBLI,346.67,125.0,1.0,1.0,125.0,0.360573
17805,KR,CN,STONE,CEMEN,1.72,125.0,1.0,1.0,125.0,72.674419
16774,KR,CN,NONME,ALUM1,40.37,125.0,1.0,1.0,125.0,3.096359
77172,KR,US,BASIC,MOTO1,143.34,125.0,1.0,1.0,125.0,0.872052
16386,KR,CN,MEDIC,BITUM,205.35,125.0,1.0,1.0,125.0,0.608717
17399,KR,CN,RADIO,PRINT,188.13,124.0,1.0,1.0,124.0,0.659119
65042,KR,RU,CONST,REALE,57.89,124.0,1.0,1.0,124.0,2.141993
14834,KR,CN,CHEM1,RUBBE,393.44,124.0,1.0,1.0,124.0,0.315169
9349,KR,BR,MOTO1,MOTO1,341.81,123.0,1.0,1.0,123.0,0.359849
15030,KR,CN,COPP1,AIRTR,51.88,122.0,1.0,1.0,122.0,2.351581
15283,KR,CN,FABRI,CERAM,247.0,122.0,1.0,1.0,122.0,0.493927
77664,KR,US,COPP1,CONST,51.92,122.0,1.0,1.0,122.0,2.349769
83139,KR,WA,GASDI,WHOLE,298.24,121.0,1.0,1.0,121.0,0.405714
73078,KR,TR,BASIC,MOTO1,139.19,121.0,1.0,1.0,121.0,0.869315
42735,KR,IN,GASDI,LANDT,295.93,120.0,1.0,1.0,120.0,0.405501
15611,KR,CN,FOOD5,PIGS9,289.43,119.0,1.0,1.0,119.0,0.411153
49955,KR,JP,RUBBE,RUBBE,258.83,119.0,1.0,1.0,119.0,0.459761
57001,KR,NO,CONST,PUBLI,55.7,119.0,1.0,1.0,119.0,2.136445
48529,KR,JP,FOOD5,FOOD5,289.72,119.0,1.0,1.0,119.0,0.410741
17813,KR,CN,STONE,FABRI,1.65,119.0,1.0,1.0,119.0,72.121212
75752,KR,TW,CONST,RAILW,55.63,119.0,1.0,1.0,119.0,2.139134
96218,KR,WL,PLAST,CRUDE,279.05,118.0,1.0,1.0,118.0,0.422863
83887,KR,WA,LEAD1,WHOLE,50.88,116.0,1.0,1.0,116.0,2.279874
79858,KR,US,RUBBE,CRUDE,252.8,116.0,1.0,1.0,116.0,0.458861
