interstate_id,trade_id,state1,state2,sector1,sector2,state_industry_code,amount,commodity_code,industry_code,economic_multiplier
161,16659,CA,AL,44RT,56,manufacturing,0.005181239733579164,,,1.0
162,1817,CA,AL,44RT,56,services,1.842250648775555,,,1.0
163,15218,CA,AL,48TW,21,manufacturing,0.2331333616032841,,,1.0
164,1705,CA,AL,48TW,21,services,23.865889159013157,,,1.0
165,8342,CA,AL,48TW,21,transportation,1.0911735991114573,,,1.0
166,15185,CA,AL,48TW,22,manufacturing,2.0643193872512104,,,1.0
167,1769,CA,AL,48TW,22,services,1.0522001041815234,,,1.0
168,221,CA,AL,48TW,22,transportation,0.6064632045348706,,,1.0
169,15179,CA,AL,48TW,31ND,manufacturing,0.6242752510718302,,,1.0
170,1766,CA,AL,48TW,31ND,services,3.0489361933977723,,,1.0
171,142,CA,AL,48TW,31ND,transportation,0.858473778843699,,,1.0
172,15286,CA,AL,48TW,56,manufacturing,0.48625093181994195,,,1.0
173,1817,CA,AL,48TW,56,services,2.3541978039937637,,,1.0
174,260,CA,AL,48TW,56,transportation,1.409588028148421,,,1.0
175,2661,CA,AL,51,21,manufacturing,3.6723862381933343,,,1.0
176,12483,CA,AL,51,21,services,2.1729746785694783,,,1.0
177,2725,CA,AL,51,22,manufacturing,0.9356016382015294,,,1.0
178,12547,CA,AL,51,22,services,0.5878540823961117,,,1.0
179,2640,CA,AL,51,31ND,manufacturing,1.2868553698647083,,,1.0
180,12513,CA,AL,51,31ND,services,0.715960676512235,,,1.0
181,2772,CA,AL,51,56,manufacturing,2.0900335482121846,,,1.0
182,12593,CA,AL,51,56,services,4.967244283695435,,,1.0
183,607,CA,AL,52,21,services,6.149046051946861,,,1.0
184,615,CA,AL,52,22,services,3.5903396275501906,,,1.0
185,609,CA,AL,52,31ND,services,2.1955252006041235,,,1.0
186,5766,CA,AL,52,56,services,42.46607189902612,,,1.0
187,13735,CA,AL,53,21,manufacturing,9.297429125176501,,,1.0
188,1705,CA,AL,53,21,services,25.11580786304206,,,1.0
189,13799,CA,AL,53,22,manufacturing,0.6292913536907943,,,1.0
190,1769,CA,AL,53,22,services,3.0504403274444813,,,1.0
191,13715,CA,AL,53,31ND,manufacturing,2.0307915978634528,,,1.0
192,1766,CA,AL,53,31ND,services,4.076181609302718,,,1.0
193,13845,CA,AL,53,56,manufacturing,5.237204604636451,,,1.0
194,1817,CA,AL,53,56,services,9.599191402818422,,,1.0
195,2661,CA,AL,54,21,manufacturing,5.508579357290001,,,1.0
196,1705,CA,AL,54,21,services,192.62526428537933,,,1.0
197,2725,CA,AL,54,22,manufacturing,1.403402457302294,,,1.0
198,13900,CA,AL,54,22,services,67.7336939346466,,,1.0
199,2640,CA,AL,54,31ND,manufacturing,1.9302830547970622,,,1.0
200,1766,CA,AL,54,31ND,services,39.734418726285426,,,1.0
201,2772,CA,AL,54,56,manufacturing,3.135050322318277,,,1.0
202,1817,CA,AL,54,56,services,15.557861023649725,,,1.0
203,1705,CA,AL,55,21,services,23.604194718276904,,,1.0
204,1769,CA,AL,55,22,services,0.9900560348545282,,,1.0
205,1766,CA,AL,55,31ND,services,2.9703394009090354,,,1.0
206,1817,CA,AL,55,56,services,1.842250648775555,,,1.0
207,11378,CA,AL,56,21,agriculture,0.34021055189734056,,,1.0
208,15218,CA,AL,56,21,manufacturing,1.1712488243233334,,,1.0
