trade_id,industry_imports_total,source_share,import_intensity,supplier_count,import_concentration_hhi
34347,2015.58,1.5e-05,0.00398,48,0.016888
34348,1315.35,1.5e-05,0.002597,48,0.014124
34349,646.72,1.5e-05,0.001277,48,0.014176
34350,1103.34,1.8e-05,0.002179,48,0.014214
34351,1105.25,1.8e-05,0.002182,48,0.01546
34352,788.23,1.3e-05,0.001556,48,0.015862
34353,3242.0,1.9e-05,0.006401,48,0.015889
34354,1636.46,0.000691,0.003231,48,0.007205
34355,2445.96,0.000826,0.00483,48,0.004815
34356,1847.94,4.9e-05,0.003649,48,0.017924
34357,1356.94,0.000184,0.002679,48,0.029353
34358,708.77,0.000226,0.001399,48,0.019987
34359,1103.94,0.000308,0.00218,48,0.017734
34360,223.06,0.000224,0.00044,47,0.017618
34361,2003.85,0.000185,0.003957,48,0.019194
34362,540.25,0.000185,0.001067,48,0.013692
34363,808.04,0.000161,0.001595,48,0.021055
34364,1865.54,0.000113,0.003684,48,0.018932
34365,209.73,0.000191,0.000414,47,0.016339
34366,1478.94,5.4e-05,0.00292,48,0.011859
34367,766.1,0.000183,0.001513,48,0.018588
34368,854.71,5.8e-05,0.001688,47,0.031796
34369,568.74,0.000352,0.001123,48,0.020378
34370,5267.56,2.8e-05,0.010401,48,0.024451
34371,500.47,0.00032,0.000988,48,0.007374
34372,10510.86,0.000667,0.020754,48,0.007337
34373,6060.67,0.000871,0.011967,48,0.00672
34374,953.47,0.000713,0.001883,48,0.009314
34375,104.66,0.000478,0.000207,45,0.012727
34376,3052.39,8.8e-05,0.006027,48,0.030056
34377,2840.47,4.9e-05,0.005609,48,0.017622
34378,1163.8,0.000335,0.002298,48,0.02004
34379,2581.8,2.7e-05,0.005098,48,0.030313
34380,2136.02,0.000112,0.004218,48,0.020086
34381,917.24,2.2e-05,0.001811,48,0.021254
34382,9229.5,2e-06,0.018224,47,0.203082
34383,10142.89,3e-06,0.020027,48,0.203139
34384,7995.38,0.00028,0.015787,48,0.022582
34385,3260.94,0.00023,0.006439,48,0.008452
34386,10065.68,1.6e-05,0.019875,48,0.033337
34387,442.24,2.3e-05,0.000873,48,0.008833
34388,306.24,0.000131,0.000605,48,0.00988
34389,534.09,7.5e-05,0.001055,48,0.006551
34390,11717.95,8e-06,0.023137,48,0.028457
34391,13060.04,1.1e-05,0.025787,48,0.017442
34392,16236.16,1.2e-05,0.032059,48,0.017746
34393,14075.61,1e-06,0.027793,48,0.052377
34394,709.81,1.4e-05,0.001402,47,0.026445
34395,751.36,1.3e-05,0.001484,44,0.644673
34396,5470.45,2.2e-05,0.010802,48,0.027172
34397,1630.82,2.5e-05,0.00322,48,0.041847
34398,41659.12,1.6e-05,0.082257,48,0.015934
34399,164.95,0.000606,0.000326,48,0.008202
34400,22234.83,7.6e-05,0.043903,48,0.009138
34401,9599.1,0.000132,0.018954,48,0.007896
34402,6882.45,0.002489,0.01359,48,0.010853
34403,9975.33,9e-06,0.019697,48,0.017256
34404,16278.73,2e-05,0.032143,48,0.019878
34405,22176.73,7e-06,0.043789,48,0.050837
34406,7350.02,3.1e-05,0.014513,48,0.033148
34407,768.87,2.6e-05,0.001518,48,0.009864
34408,4037.95,5.9e-05,0.007973,48,0.009089
34409,13038.72,5e-06,0.025745,48,0.013304
34410,6914.31,6e-06,0.013652,48,0.014134
34411,5173.1,8e-06,0.010214,48,0.009854
34412,15069.75,2.3e-05,0.029756,48,0.03846
34413,7437.85,0.000113,0.014686,48,0.006877
34414,13638.11,6.8e-05,0.026929,48,0.007535
34415,7756.54,0.000103,0.015315,48,0.007878
34416,19876.11,9.9e-05,0.039246,48,0.009232
34417,20831.23,3.6e-05,0.041132,48,0.011163
34418,16402.69,0.000396,0.032388,48,0.006881
34419,12521.54,0.000184,0.024724,48,0.007571
34420,2453.5,4e-06,0.004845,48,0.015404
34421,3242.0,6e-06,0.006401,48,0.015889
34422,1636.46,0.000183,0.003231,48,0.007205
34423,2445.96,0.000278,0.00483,48,0.004815
34424,1847.94,1.1e-05,0.003649,48,0.017924
34425,1103.94,1.8e-05,0.00218,48,0.017734
34426,2003.85,1e-05,0.003957,48,0.019194
34427,1478.94,7e-06,0.00292,48,0.011859
34428,854.71,3.5e-05,0.001688,47,0.031796
34429,568.74,3.5e-05,0.001123,48,0.020378
34430,5267.56,4e-06,0.010401,48,0.024451
34431,10510.86,8e-06,0.020754,48,0.007337
34432,6060.67,7e-06,0.011967,48,0.00672
34433,7995.38,4e-06,0.015787,48,0.022582
34434,3260.94,3e-06,0.006439,48,0.008452
34435,22234.83,1e-06,0.043903,48,0.009138
34436,9599.1,2e-06,0.018954,48,0.007896
34437,6882.45,2.9e-05,0.01359,48,0.010853
34438,7437.85,1e-06,0.014686,48,0.006877
34439,13638.11,1e-06,0.026929,48,0.007535
34440,7756.54,1e-06,0.015315,48,0.007878
34441,19876.11,2e-06,0.039246,48,0.009232
34442,20831.23,1e-06,0.041132,48,0.011163
34443,16402.69,6e-06,0.032388,48,0.006881
34444,12521.54,2e-06,0.024724,48,0.007571
34445,2445.96,4e-06,0.00483,48,0.004815
34446,104.66,0.000191,0.000207,45,0.012727
34447,1562.62,7.7e-05,0.003085,48,0.02062
34448,1065.14,5.6e-05,0.002103,48,0.031517
34449,4235.17,6.4e-05,0.008362,48,0.029342
34450,641.38,6.2e-05,0.001266,47,0.032298
34451,265.09,7.5e-05,0.000523,47,0.028326
34452,57.16,0.00035,0.000113,46,0.008857
34453,1356.94,7.4e-05,0.002679,48,0.029353
34454,708.77,9.9e-05,0.001399,48,0.019987
34455,1103.94,7.2e-05,0.00218,48,0.017734
34456,223.06,9e-05,0.00044,47,0.017618
34457,2003.85,7.5e-05,0.003957,48,0.019194
34458,808.04,3.7e-05,0.001595,48,0.021055
34459,1865.54,4.8e-05,0.003684,48,0.018932
34460,209.73,4.8e-05,0.000414,47,0.016339
34461,5267.56,4e-06,0.010401,48,0.024451
34462,10510.86,6e-06,0.020754,48,0.007337
34463,6060.67,8e-06,0.011967,48,0.00672
34464,953.47,1e-05,0.001883,48,0.009314
34465,3052.39,0.004511,0.006027,48,0.030056
34466,2840.47,0.002855,0.005609,48,0.017622
34467,1163.8,0.000653,0.002298,48,0.02004
34468,2581.8,0.000101,0.005098,48,0.030313
34469,2136.02,0.002992,0.004218,48,0.020086
34470,917.24,5.5e-05,0.001811,48,0.021254
34471,3260.94,0.000334,0.006439,48,0.008452
34472,10065.68,7.8e-05,0.019875,48,0.033337
34473,531.96,0.000338,0.00105,48,0.011346
34474,534.09,0.00015,0.001055,48,0.006551
34475,4959.1,3e-05,0.009792,48,0.022905
34476,838.72,3.6e-05,0.001656,47,0.036522
34477,1710.27,1.8e-05,0.003377,46,0.103275
34478,1486.42,4.7e-05,0.002935,48,0.023224
34479,11717.95,7e-06,0.023137,48,0.028457
34480,13060.04,5.4e-05,0.025787,48,0.017442
34481,16236.16,0.00019,0.032059,48,0.017746
34482,14075.61,4.6e-05,0.027793,48,0.052377
34483,709.81,0.000225,0.001402,47,0.026445
34484,41659.12,6.3e-05,0.082257,48,0.015934
34485,2115.32,5.2e-05,0.004177,48,0.007492
34486,164.95,0.000788,0.000326,48,0.008202
34487,22234.83,0.00012,0.043903,48,0.009138
34488,6882.45,0.000134,0.01359,48,0.010853
34489,16278.73,2.6e-05,0.032143,48,0.019878
34490,1104.27,0.000163,0.00218,48,0.021825
34491,22176.73,9e-06,0.043789,48,0.050837
34492,377.96,5.3e-05,0.000746,48,0.008274
34493,7350.02,7e-06,0.014513,48,0.033148
34494,13038.72,1.4e-05,0.025745,48,0.013304
34495,5173.1,8.7e-05,0.010214,48,0.009854
34496,7756.54,4e-06,0.015315,48,0.007878
34497,19876.11,8e-06,0.039246,48,0.009232
34498,16402.69,2e-06,0.032388,48,0.006881
34499,12521.54,0.000605,0.024724,48,0.007571
34500,1835.49,3.3e-05,0.003624,48,0.015078
34501,1941.03,3.1e-05,0.003833,48,0.015424
34502,861.65,2.3e-05,0.001701,48,0.016508
34503,2453.5,4.1e-05,0.004845,48,0.015404
34504,424.95,2.4e-05,0.000839,48,0.015885
34505,567.58,3.5e-05,0.001121,48,0.015779
34506,2256.13,3.1e-05,0.004455,48,0.015492
34507,2015.58,3.5e-05,0.00398,48,0.016888
34508,1315.35,3e-05,0.002597,48,0.014124
34509,646.72,3.1e-05,0.001277,48,0.014176
34510,1103.34,3.6e-05,0.002179,48,0.014214
34511,1105.25,3.6e-05,0.002182,48,0.01546
34512,788.23,3.8e-05,0.001556,48,0.015862
34513,3242.0,4e-05,0.006401,48,0.015889
34514,476.66,4.2e-05,0.000941,48,0.016311
34515,2445.96,3.3e-05,0.00483,48,0.004815
34516,1847.94,0.000655,0.003649,48,0.017924
34517,1131.61,3.5e-05,0.002234,48,0.033798
34518,10510.86,2e-06,0.020754,48,0.007337
34519,6060.67,3e-06,0.011967,48,0.00672
34520,2840.47,0.00044,0.005609,48,0.017622
34521,2581.8,4e-06,0.005098,48,0.030313
34522,1691.59,2.4e-05,0.00334,48,0.009497
34523,13060.04,3e-06,0.025787,48,0.017442
34524,16236.16,4e-06,0.032059,48,0.017746
34525,41659.12,1e-06,0.082257,48,0.015934
34526,2115.32,1.9e-05,0.004177,48,0.007492
34527,22234.83,1.1e-05,0.043903,48,0.009138
34528,9599.1,2e-05,0.018954,48,0.007896
34529,6882.45,9e-06,0.01359,48,0.010853
34530,22176.73,5e-06,0.043789,48,0.050837
34531,377.96,5.3e-05,0.000746,48,0.008274
34532,4037.95,5.4e-05,0.007973,48,0.009089
34533,13038.72,1.8e-05,0.025745,48,0.013304
34534,6914.31,2e-05,0.013652,48,0.014134
