trade_id,industry_imports_total,source_share,import_intensity,supplier_count,import_concentration_hhi
82964,9178.6,3e-06,0.00567,46,0.071199
82965,11435.0,4e-06,0.007064,47,0.079157
82966,4087.07,5e-06,0.002525,46,0.086814
82967,18658.01,2e-06,0.011525,46,0.086045
82968,34144.73,1e-06,0.021092,48,0.021903
82969,56483.56,1e-06,0.034891,48,0.014941
82970,55962.21,1e-06,0.034569,48,0.029047
82971,70656.76,1e-06,0.043646,48,0.092011
82972,30348.81,3.5e-05,0.018747,48,0.014604
82973,17998.39,1e-06,0.011118,48,0.170138
82974,2062.07,5e-06,0.001274,48,0.019231
82975,109644.31,0.0,0.06773,48,0.014331
82976,9689.6,4e-06,0.005985,48,0.012337
82977,7164.17,7e-06,0.004425,48,0.014448
82978,10486.24,6e-06,0.006478,48,0.019415
82979,891.5,1.1e-05,0.000551,47,0.015615
82980,3558.26,1.4e-05,0.002198,48,0.015461
82981,19273.71,8e-06,0.011906,48,0.029501
82982,20004.74,4e-06,0.012357,48,0.018462
82983,9718.71,3e-06,0.006003,48,0.027006
82984,13734.81,1e-05,0.008484,48,0.017983
82985,26184.86,0.0,0.016175,47,0.039925
82986,3045.2,3e-06,0.001881,47,0.020324
82987,14423.56,3e-06,0.00891,48,0.036282
82988,45278.87,0.0,0.02797,48,0.221046
82989,32301.43,5e-06,0.019953,48,0.043041
82990,23347.42,2.1e-05,0.014422,48,0.057318
82991,9688.3,1e-06,0.005985,48,0.05764
82992,50510.26,1e-06,0.031201,48,0.026101
82993,16125.2,7e-06,0.009961,48,0.042456
82994,38480.09,1e-06,0.02377,48,0.048112
82995,7964.27,8e-06,0.00492,48,0.015981
82996,4693.92,2e-06,0.0029,48,0.026715
82997,6365.79,3e-06,0.003932,48,0.018551
82998,69277.89,0.0,0.042794,48,0.054299
82999,34144.73,0.0,0.021092,48,0.021903
83000,56483.56,1e-06,0.034891,48,0.014941
83001,56812.9,0.0,0.035094,48,0.103485
83002,70656.76,0.0,0.043646,48,0.092011
83003,28673.03,1e-06,0.017712,48,0.056484
83004,30348.81,1e-06,0.018747,48,0.014604
83005,2692.1,4e-06,0.001663,48,0.031764
83006,109644.31,1e-06,0.06773,48,0.014331
83007,9403.88,5e-06,0.005809,48,0.039784
83008,9689.6,2e-06,0.005985,48,0.012337
83009,7164.17,4e-06,0.004425,48,0.014448
83010,22934.0,1e-06,0.014167,48,0.120226
83011,4306.84,2e-06,0.00266,48,0.037568
83012,19273.71,2e-06,0.011906,48,0.029501
83013,20004.74,4e-06,0.012357,48,0.018462
83014,9718.71,4e-06,0.006003,48,0.027006
83015,13734.81,7e-06,0.008484,48,0.017983
83016,2973.38,3e-06,0.001837,48,0.031753
83017,1803.35,6e-06,0.001114,48,0.042818
83018,11340.8,9e-06,0.007005,48,0.174205
83019,3045.2,4.3e-05,0.001881,47,0.020324
83020,1030.97,1.9e-05,0.000637,46,0.036439
83021,14423.56,1.8e-05,0.00891,48,0.036282
83022,7173.3,3e-06,0.004431,48,0.035709
83023,32301.43,1.8e-05,0.019953,48,0.043041
83024,23347.42,3.1e-05,0.014422,48,0.057318
83025,9688.3,0.001358,0.005985,48,0.05764
83026,50510.26,1.6e-05,0.031201,48,0.026101
83027,14288.4,1e-06,0.008826,48,0.036111
83028,8315.27,5e-06,0.005137,48,0.034813
83029,11253.42,2e-06,0.006951,48,0.141558
83030,55865.34,1e-06,0.034509,48,0.038525
83031,16125.2,2e-06,0.009961,48,0.042456
83032,38480.09,2e-06,0.02377,48,0.048112
83033,62800.83,4e-06,0.038793,48,0.086963
83034,7964.27,1.1e-05,0.00492,48,0.015981
83035,6365.79,2e-06,0.003932,48,0.018551
83036,69277.89,1e-06,0.042794,48,0.054299
83037,11435.0,2e-06,0.007064,47,0.079157
83038,4500.29,4e-06,0.00278,47,0.027531
83039,34144.73,4e-06,0.021092,48,0.021903
83040,56483.56,4e-06,0.034891,48,0.014941
83041,56812.9,1e-06,0.035094,48,0.103485
83042,55962.21,1e-06,0.034569,48,0.029047
83043,21343.61,1e-06,0.013184,48,0.161725
83044,70656.76,1.1e-05,0.043646,48,0.092011
83045,28673.03,8e-06,0.017712,48,0.056484
83046,30348.81,3.7e-05,0.018747,48,0.014604
83047,17998.39,2e-06,0.011118,48,0.170138
83048,2692.1,4e-06,0.001663,48,0.031764
83049,2062.07,5e-06,0.001274,48,0.019231
83050,109644.31,8e-06,0.06773,48,0.014331
83051,9689.6,3.3e-05,0.005985,48,0.012337
83052,7164.17,3.2e-05,0.004425,48,0.014448
83053,10486.24,2e-06,0.006478,48,0.019415
83054,2149.04,9e-06,0.001328,48,0.029597
83055,2942.84,7e-06,0.001818,48,0.022584
83056,6416.5,8e-06,0.003964,48,0.018097
83057,5401.51,4e-06,0.003337,48,0.061622
83058,4306.84,7e-06,0.00266,48,0.037568
83059,5824.18,2e-06,0.003598,48,0.027596
83060,7823.2,5e-06,0.004833,48,0.030987
83061,19273.71,5e-06,0.011906,48,0.029501
83062,20004.74,1.7e-05,0.012357,48,0.018462
83063,9718.71,9e-06,0.006003,48,0.027006
83064,13734.81,1.4e-05,0.008484,48,0.017983
83065,2973.38,1e-05,0.001837,48,0.031753
83066,1803.35,2.8e-05,0.001114,48,0.042818
83067,11340.8,3e-05,0.007005,48,0.174205
83068,828.51,1.2e-05,0.000512,46,0.070673
83069,969.43,2.1e-05,0.000599,46,0.228059
83070,983.2,0.000102,0.000607,46,0.023475
83071,3045.2,3e-05,0.001881,47,0.020324
83072,1030.97,2.9e-05,0.000637,46,0.036439
83073,14423.56,2.8e-05,0.00891,48,0.036282
83074,7173.3,8e-06,0.004431,48,0.035709
83075,2772.73,7e-06,0.001713,47,0.042287
83076,8515.62,4e-06,0.00526,46,0.071929
83077,45278.87,0.0,0.02797,48,0.221046
83078,1306.17,3.8e-05,0.000807,48,0.091109
83079,5700.83,7e-06,0.003522,48,0.070365
