trade_id,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,land,material,water,impact_intensity
2806771,GB,BR,RENTI,WHOLE,0.02,1653.127,3.0,3.0,1653.127,0.0,0.0,0.0,0.0,82656.35
1566786,IE,BR,RETA1,FISH5,0.02,1652.899,3.0,3.0,1652.899,0.0,0.0,0.0,0.0,82644.95
3992071,CH,BR,REALE,ELEC5,0.01,1652.887,3.0,3.0,1652.887,0.0,0.0,0.0,0.0,165288.7
1215852,FR,BR,RENTI,INSUR,0.02,1652.726,3.0,3.0,1652.726,0.0,0.0,0.0,0.0,82636.3
956221,ES,BR,FINAN,TEXTI,0.06,1651.531,3.0,3.0,1651.531,0.0,0.0,0.0,0.0,27525.516667
2807291,GB,BR,MEMBE,REALE,0.02,1651.379,3.0,3.0,1651.379,0.0,0.0,0.0,0.0,82568.95
2807122,GB,BR,EDUCA,VEGE1,0.04,1651.305,3.0,3.0,1651.305,0.0,0.0,0.0,0.0,41282.625
2071710,NL,BR,PUBLI,REFI1,0.02,1651.13,3.0,3.0,1651.13,0.0,0.0,0.0,0.0,82556.5
230775,BE,BR,SUPPO,MOTO1,0.02,1650.778,3.0,3.0,1650.778,0.0,0.0,0.0,0.0,82538.9
2072898,NL,BR,FOOD3,MOTO1,0.01,1650.703,3.0,3.0,1650.703,0.0,0.0,0.0,0.0,165070.3
2805869,GB,BR,RETAI,COMPU,0.02,1650.693,3.0,3.0,1650.693,0.0,0.0,0.0,0.0,82534.65
1719506,IT,BR,FINAN,POULT,0.03,1649.441,3.0,3.0,1649.441,0.0,0.0,0.0,0.0,54981.366667
446064,CZ,BR,COMPU,AIRTR,0.02,1649.176,3.0,3.0,1649.176,0.0,0.0,0.0,0.0,82458.8
3691490,MX,BR,PREC1,TEXTI,0.01,1649.096,3.0,3.0,1649.096,0.0,0.0,0.0,0.0,164909.6
2073147,NL,BR,WOOD2,HEALT,0.01,1649.03,3.0,3.0,1649.03,0.0,0.0,0.0,0.0,164903.0
1566340,IE,BR,TEXTI,HEALT,0.01,1648.944,3.0,3.0,1648.944,0.0,0.0,0.0,0.0,164894.4
2072692,NL,BR,SEWAG,REFI1,0.01,1648.514,3.0,3.0,1648.514,0.0,0.0,0.0,0.0,164851.4
1720511,IT,BR,RECRE,BUSIN,0.03,1648.478,3.0,3.0,1648.478,0.0,0.0,0.0,0.0,54949.266667
2318394,PT,BR,POSTT,NONME,0.03,1648.282,3.0,3.0,1648.282,0.0,0.0,0.0,0.0,54942.733333
1719037,IT,BR,HOTEL,DAIRY,0.02,1648.144,3.0,3.0,1648.144,0.0,0.0,0.0,0.0,82407.2
2073027,NL,BR,PAPE4,EDUCA,0.01,1647.968,3.0,3.0,1647.968,0.0,0.0,0.0,0.0,164796.8
1216224,FR,BR,PAPE1,FOOD4,0.01,1647.72,3.0,3.0,1647.72,0.0,0.0,0.0,0.0,164772.0
1213772,FR,BR,WEARI,FABRI,0.02,1647.418,3.0,3.0,1647.418,0.0,0.0,0.0,0.0,82370.9
956913,ES,BR,93197,RADIO,0.02,1647.186,3.0,3.0,1647.186,0.0,0.0,0.0,0.0,82359.3
1947448,MT,BR,SALEM,FINAN,0.01,1647.102,3.0,3.0,1647.102,0.0,0.0,0.0,0.0,164710.2
2805908,GB,BR,WHOLE,PFERT,0.01,1646.98,3.0,3.0,1646.98,0.0,0.0,0.0,0.0,164698.0
230986,BE,BR,AUXIL,RETA1,0.03,1646.637,3.0,3.0,1646.637,0.0,0.0,0.0,0.0,54887.9
775172,DK,BR,RESEA,BASIC,0.01,1646.623,3.0,3.0,1646.623,0.0,0.0,0.0,0.0,164662.3
2981840,US,BR,COMPU,RAWMI,0.03,1646.434,3.0,3.0,1646.434,0.0,0.0,0.0,0.0,54881.133333
1719380,IT,BR,SUPPO,ELECT,0.02,1644.889,3.0,3.0,1644.889,0.0,0.0,0.0,0.0,82244.45
2805741,GB,BR,TRANS,PREC1,0.01,1644.719,3.0,3.0,1644.719,0.0,0.0,0.0,0.0,164471.9
956773,ES,BR,EDUCA,MACHI,0.03,1643.888,3.0,3.0,1643.888,0.0,0.0,0.0,0.0,54796.266667
1467085,HU,BR,PUBLI,REALE,0.01,1643.111,3.0,3.0,1643.111,0.0,0.0,0.0,0.0,164311.1
2978222,US,BR,MEAT4,LIQUI,0.01,1643.037,3.0,3.0,1643.037,0.0,0.0,0.0,0.0,164303.7
1567627,IE,BR,BUSIN,NATUR,0.02,1641.897,3.0,3.0,1641.897,0.0,0.0,0.0,0.0,82094.85
