trade_id,region1,region2,industry1,industry2,amount,total_resources_value,resources_count
62379,FR,IT,RUBBE,CONST,192.27,0,0
62828,FR,IT,SUPPO,LANDT,191.98,0,0
138101,TR,IT,TEXTI,WEARI,191.96,0,0
139289,TW,IT,HOTEL,REALE,190.75,0,0
30230,CN,IT,RUBBE,CONST,190.59,0,0
141364,US,IT,BUSIN,REALE,190.51,0,0
8345,BE,IT,COPP1,REALE,189.63,0,0
56623,FR,IT,BEVER,HOTEL,189.24,0,0
49960,ES,IT,KEROS,AIRTR,188.94,0,0
95732,LU,IT,FINAN,RETA1,188.69,0,0
81234,IE,IT,COMPU,AUXIL,187.57,0,0
27773,CN,IT,ELECT,MOTO1,187.18,0,0
60138,FR,IT,MACHI,CONST,185.87,0,0
139243,TW,IT,HOTEL,HEALT,185.7,0,0
138530,TW,IT,AIRTR,PUBLI,185.08,0,0
38759,DE,IT,FISH5,HOTEL,184.92,0,0
47595,ES,IT,BASIC,MACHI,184.61,0,0
23498,CH,IT,HOTEL,CONST,183.75,0,0
56761,FR,IT,BUSIN,CONST,182.98,0,0
121782,RU,IT,BASIC,BASIC,182.52,0,0
121424,RO,IT,WOODW,CONST,182.52,0,0
103754,NL,IT,LANDT,LANDT,181.97,0,0
151212,WE,IT,BASIC,BASIC,181.62,0,0
78577,ID,IT,BASIC,FABRI,180.83,0,0
75336,HU,IT,BEVER,HOTEL,180.74,0,0
165862,WM,IT,CRUDE,HEAVY,180.6,0,0
102570,NL,IT,FABRI,MACHI,180.45,0,0
27726,CN,IT,ELECT,DIST1,179.63,0,0
167946,WM,IT,MOTOR,LANDT,179.47,0,0
36448,DE,IT,BEVER,HOTEL,179.39,0,0
164907,WM,IT,BASIC,CONST,179.39,0,0
102442,NL,IT,DAIRY,DAIRY,179.2,0,0
123133,RU,IT,KEROS,AIRTR,178.74,0,0
58902,FR,IT,FOOD5,HOTEL,178.36,0,0
75768,HU,IT,DAIRY,DAIRY,178.05,0,0
42375,DE,IT,RUBBE,SALEM,177.95,0,0
23916,CH,IT,LANDT,WHOLE,176.23,0,0
56760,FR,IT,BUSIN,COMPU,175.83,0,0
