trade_id,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,material,impact_intensity
38541,FR,DE,GLASS,GLASS,129.08,71.0,1.0,1.0,71.0,0.550046
31444,FR,CN,TRANS,AIRTR,400.09,71.0,1.0,1.0,71.0,0.17746
139519,FR,US,RESEA,PUBLI,721.18,70.0,1.0,1.0,70.0,0.097063
44978,FR,DK,SANDC,EDUCA,1.48,70.0,1.0,1.0,70.0,47.297297
50785,FR,ES,PAPER,PAPER,133.5,70.0,1.0,1.0,70.0,0.524345
156655,FR,WF,RUBBE,CONST,261.68,70.0,1.0,1.0,70.0,0.267502
132534,FR,TR,SANDC,STONE,1.47,70.0,1.0,1.0,70.0,47.619048
42550,FR,DE,TRANS,PUBLI,398.19,70.0,1.0,1.0,70.0,0.175795
85628,FR,JP,TRANS,RAILW,396.71,70.0,1.0,1.0,70.0,0.176451
86223,FR,KR,CHEM1,PLAST,141.52,70.0,1.0,1.0,70.0,0.49463
164337,FR,WM,CHEM1,VEGET,139.82,69.0,1.0,1.0,69.0,0.493492
13570,FR,BE,WHOLE,WHOLE,490.48,69.0,1.0,1.0,69.0,0.140679
6712,FR,BE,BASIC,FABRI,317.23,69.0,1.0,1.0,69.0,0.217508
29696,FR,CN,MACHI,BASIC,539.61,69.0,1.0,1.0,69.0,0.12787
38179,FR,DE,FOOD5,FOOD5,491.71,69.0,1.0,1.0,69.0,0.140327
46316,FR,ES,ALUM1,ALUM1,240.71,69.0,1.0,1.0,69.0,0.286652
36748,FR,DE,COPP1,MACHI,133.95,68.0,1.0,1.0,68.0,0.507652
143703,FR,WA,LEATH,WHOLE,423.93,68.0,1.0,1.0,68.0,0.160404
28174,FR,CN,CHEM1,POULT,137.16,68.0,1.0,1.0,68.0,0.495771
39533,FR,DE,MACHI,MOTO1,530.4,68.0,1.0,1.0,68.0,0.128205
36869,FR,DE,DAIRY,DAIRY,333.25,68.0,1.0,1.0,68.0,0.204051
123833,FR,SE,SANDC,SANDC,1.43,68.0,1.0,1.0,68.0,47.552448
37217,FR,DE,ELEC3,DISTR,406.59,67.0,1.0,1.0,67.0,0.164785
77035,FR,IT,COPP1,COPP1,129.13,66.0,1.0,1.0,66.0,0.511113
164317,FR,WM,CHEM1,REALE,133.28,66.0,1.0,1.0,66.0,0.495198
28916,FR,CN,FOOD5,POULT,468.69,66.0,1.0,1.0,66.0,0.140818
108093,FR,PL,RUBBE,CONST,246.0,66.0,1.0,1.0,66.0,0.268293
136658,FR,US,CHEM1,PLAST,130.73,65.0,1.0,1.0,65.0,0.497208
95245,FR,MX,SANDC,CONST,1.36,65.0,1.0,1.0,65.0,47.794118
80750,FR,IT,PAPER,PAPER,121.58,64.0,1.0,1.0,64.0,0.526402
76114,FR,IT,BASIC,CONST,296.0,64.0,1.0,1.0,64.0,0.216216
157747,FR,WF,WHEAT,REALE,229.63,64.0,1.0,1.0,64.0,0.278709
47212,FR,ES,CHEMI,CHEM1,14.63,64.0,1.0,1.0,64.0,4.374573
81329,FR,IT,PULP5,PAPER,72.34,63.0,1.0,1.0,63.0,0.870887
132577,FR,TR,SEACO,RETA1,173.97,63.0,1.0,1.0,63.0,0.362131
