trade_id,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,impact_intensity
2670,KR,KR,FABRI,TRANS,3957.52,1413551163.06,6,6,357181.053554
6297,KR,KR,RESEA,PUBLI,6468.24,1412736602.939,6,6,218411.283895
6930,KR,KR,TEXTI,WEARI,3290.16,1412601542.095,6,6,429341.29103
3481,KR,KR,HEAVY,KEROS,1534.43,1384254901.106,6,6,902129.716641
5932,KR,KR,RAWMI,DAIRY,3054.67,1376486507.435,6,6,450617.090368
3246,KR,KR,GLASS,GLASS,3370.37,1375204489.117,6,6,408027.7504
1784,KR,KR,ELEC1,KERO1,7.66,1370562987.386,5,5,178924671.982506
1812,KR,KR,ELEC1,PFERT,7.64,1367927696.652,5,5,179048127.834031
4079,KR,KR,LEAD1,LEAD1,1518.39,1348477981.019,6,6,888097.248414
1829,KR,KR,ELEC1,REFI1,7.45,1333921991.915,5,5,179049931.800671
363,KR,KR,AUXIL,INSUR,9966.82,1326617346.885,6,6,133103.371676
1824,KR,KR,ELEC1,RADIO,7.4,1323709711.993,5,5,178879690.809865
1416,KR,KR,DAIRY,HOTEL,2631.82,1309700726.949,6,6,497640.692353
6345,KR,KR,RUBBE,BEVER,2298.12,1289868843.046,6,6,561271.31875
2626,KR,KR,FABRI,MOTO1,3573.7,1276459481.049,6,6,357181.487268
1890,KR,KR,ELEC2,HEALT,15.2,1266450522.835,6,6,83319113.344408
6180,KR,KR,REFI1,NAPHT,1393.96,1257529308.745,6,6,902127.255262
752,KR,KR,BLAST,GASDI,18.75,1244027211.852,6,6,66348117.96544
7354,KR,KR,WOODW,FURNI,2586.99,1236860979.81,6,6,478108.141048
1786,KR,KR,ELEC1,LANDT,6.87,1229074960.567,5,5,178904652.193159
1781,KR,KR,ELEC1,HOTEL,6.79,1215193914.908,5,5,178968175.98056
111,KR,KR,AIRTR,AIRTR,838.85,1214699013.382,6,6,1448052.707137
4044,KR,KR,LANDT,PRINT,2168.53,1208373166.676,6,6,557231.473245
2720,KR,KR,FINAN,FINAN,12525.09,1194885903.526,6,6,95399.386633
82,KR,KR,93197,PRINT,2544.92,1192041167.627,6,6,468400.251335
3804,KR,KR,KERO1,GASDI,1317.41,1188473126.5,6,6,902128.514661
194,KR,KR,AIRTR,RETA1,818.69,1185509210.627,6,6,1448056.298021
2810,KR,KR,FISH5,FOOD5,2502.56,1177347798.533,6,6,470457.371065
2520,KR,KR,ELECT,ELECT,3271.06,1170909022.916,6,6,357960.117795
1926,KR,KR,ELEC2,POSTT,14.01,1167358541.56,6,6,83323236.371163
185,KR,KR,AIRTR,PUBLI,802.13,1161525802.505,6,6,1448051.815173
5425,KR,KR,PLAST,PLAST,1452.22,1147585042.541,6,6,790228.093912
5183,KR,KR,PAPER,DAIRY,1167.16,1147157879.934,6,6,982862.572341
2862,KR,KR,FOOD5,POULT,2005.22,1145098382.117,6,6,571058.727779
3979,KR,KR,LANDT,CONST,2054.33,1144737787.117,6,6,557231.694575
3229,KR,KR,GLASS,CONST,2794.98,1140430524.998,6,6,408028.152258
2609,KR,KR,FABRI,FURNI,3173.28,1133435876.514,6,6,357181.174215
1762,KR,KR,ELEC1,CONST,6.27,1122804725.203,5,5,179075713.748485
1820,KR,KR,ELEC1,PRIVA,6.14,1098639553.634,5,5,178931523.39316
5652,KR,KR,PRINT,OFFIC,1590.97,1091909339.582,6,6,686316.737325
6429,KR,KR,RUBBE,RADIO,1901.31,1067152373.598,6,6,561272.161614
6745,KR,KR,SUPPO,GASDI,4375.72,1063112731.594,6,6,242957.211977
7087,KR,KR,TRANS,TRANS,3611.55,1063071763.858,6,6,294353.328587
4919,KR,KR,NONME,CEMEN,1141.19,1062119050.679,6,6,930711.845248
1755,KR,KR,ELEC1,CEMEN,5.88,1052571055.055,5,5,179008682.832483
3476,KR,KR,HEAVY,HEAVY,1157.94,1044611985.832,6,6,902129.631787
2865,KR,KR,FOOD5,RAWMI,1821.18,1040001551.754,6,6,571059.176882
1440,KR,KR,DIST1,ELEC8,15.65,1038526909.882,6,6,66359546.957316
5478,KR,KR,POSTT,FINAN,3746.99,1036322477.911,6,6,276574.658035
4914,KR,KR,NONME,BASIC,1108.42,1031619006.519,6,6,930711.288608
6390,KR,KR,RUBBE,LANDT,1823.77,1023632983.925,6,6,561273.068383
5159,KR,KR,PAPER,93197,1023.22,1005685038.441,6,6,982862.960498
4350,KR,KR,LUBRI,LANDT,1111.43,1002657083.461,6,6,902132.463098
6071,KR,KR,RECRE,BUSIN,3466.09,993039367.163,6,6,286501.321998
5112,KR,KR,OXYGE,BASIC,14.85,985157975.48,6,6,66340604.409428
6228,KR,KR,RESEA,CHEM1,4442.14,970214583.524,6,6,218411.52767
5534,KR,KR,POSTT,PUBLI,3495.67,966813508.201,6,6,276574.593197
741,KR,KR,BLAST,BASIC,14.51,962637847.448,6,6,66343063.22867
4382,KR,KR,MEAT1,HOTEL,1848.03,954655939.287,6,6,516580.325691
6058,KR,KR,RECRE,93197,3298.75,945096759.668,6,6,286501.480763
474,KR,KR,BASIC,CEMEN,1120.08,926602726.903,6,6,827264.772965
4713,KR,KR,NAPHT,GASDI,1024.67,924385216.795,6,6,902129.677647
175,KR,KR,AIRTR,OFFIC,637.68,923399527.944,6,6,1448060.983478
5249,KR,KR,PAPER,TEXTI,927.19,911298292.435,6,6,982860.354873
6179,KR,KR,REFI1,MOTOR,1006.34,907851517.791,6,6,902132.000905
1823,KR,KR,ELEC1,PULP5,5.06,905714482.893,5,5,178994957.093478
4363,KR,KR,MACHI,BRICK,1.86,891023282.83,5,5,479044775.715054
5491,KR,KR,POSTT,INSUR,3188.9,881968346.537,6,6,276574.476006
4675,KR,KR,MOTO1,PRIVA,3776.69,880928291.068,6,6,233254.064026
569,KR,KR,BEVER,BEVER,2241.38,877736927.462,6,6,391605.585604
40,KR,KR,93197,FABRI,1871.19,876463606.0,6,6,468399.04339
1783,KR,KR,ELEC1,INSUR,4.85,868580539.934,5,5,179088771.120412
1930,KR,KR,ELEC2,PRINT,10.4,866867987.722,6,6,83352691.127115
5441,KR,KR,POSTT,AUXIL,3078.97,851564448.024,6,6,276574.454452
41,KR,KR,93197,FINAN,1782.1,834735392.25,6,6,468399.860979
3963,KR,KR,LANDT,BEVER,1492.43,831629458.053,6,6,557231.801862
3218,KR,KR,GLASS,BEVER,2032.31,829238667.746,6,6,408027.647232
1760,KR,KR,ELEC1,COKEO,4.59,821949495.058,5,5,179073964.064924
98,KR,KR,93197,SUPPO,1754.76,821929424.139,6,6,468399.908899
4402,KR,KR,MEATP,FOOD5,1962.14,817872790.591,6,6,416826.929063
1880,KR,KR,ELEC2,FABRI,9.8,816275224.583,6,6,83293390.263571
5147,KR,KR,PADDY,PADDY,2553.84,816071549.336,6,6,319546.858588
78,KR,KR,93197,POSTT,1724.53,807768667.225,6,6,468399.312987
4046,KR,KR,LANDT,PUBLI,1445.11,805259215.969,6,6,557230.394897
4135,KR,KR,LEATH,LEATH,2221.13,800313461.154,6,6,360318.153892
2931,KR,KR,FOUND,CONST,428.73,796562904.336,6,6,1857959.331831
2842,KR,KR,FOOD5,CATTL,1382.2,789318175.682,6,6,571059.308119
1915,KR,KR,ELEC2,NONME,9.46,787873982.207,6,6,83284776.131818
6176,KR,KR,REFI1,KEROS,863.33,778834521.343,6,6,902128.411318
6917,KR,KR,TEXTI,RUBBE,1806.21,775481938.357,6,6,429342.068949
1757,KR,KR,ELEC1,CHEM1,4.33,774408609.926,5,5,178847254.02448
1908,KR,KR,ELEC2,MOTO1,9.19,766052287.181,6,6,83357158.561589
1835,KR,KR,ELEC1,SALEM,4.27,764378453.108,5,5,179011347.332084
52,KR,KR,93197,LANDT,1627.86,762487666.118,6,6,468398.797266
6284,KR,KR,RESEA,OFFIC,3468.96,757659671.715,6,6,218411.187132
1850,KR,KR,ELEC1,WHOLE,4.22,756044886.526,5,5,179157556.048815
4058,KR,KR,LANDT,SANDC,1351.93,753336639.621,6,6,557230.507216
1,KR,KR,93197,93197,1596.05,747588384.154,6,6,468399.100375
1945,KR,KR,ELEC2,RUBBE,8.81,733682023.196,6,6,83278322.723723
3905,KR,KR,KEROS,LANDT,809.4,730180053.296,6,6,902125.096733
6373,KR,KR,RUBBE,FABRI,1300.56,729965941.763,6,6,561270.48484
216,KR,KR,ALUM1,ALUM1,556.61,724538483.995,6,6,1301698.647159
2869,KR,KR,FOOD5,SUGA1,1268.07,724140503.032,6,6,571057.199549
6755,KR,KR,SUPPO,LANDT,2952.48,717326556.202,6,6,242957.29563
1102,KR,KR,COKE1,GASDI,10.79,715782275.432,6,6,66337560.281001
