trade_id,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_intensity
93126,WA,JP,BASIC,MOTO1,61.13,487.0,1.0,1.0,487.0,7.966628
87455,US,JP,FABRI,CONST,646.01,485.0,1.0,1.0,485.0,0.750762
99367,WA,JP,VEGET,HOTEL,545.71,484.0,1.0,1.0,484.0,0.886918
108779,ZA,JP,MOTO1,MOTO1,135.22,483.0,1.0,1.0,483.0,3.571957
93493,WA,JP,CEMEN,NONME,193.39,483.0,1.0,1.0,483.0,2.497544
68063,MX,JP,NONME,CONST,19.8,481.0,1.0,1.0,481.0,24.292929
89107,US,JP,MEATP,FOOD5,204.1,481.0,1.0,1.0,481.0,2.356688
106185,WM,JP,HEAVY,GASDI,126.63,479.0,1.0,1.0,479.0,3.782674
97760,WA,JP,PULP5,PAPER,38.61,476.0,1.0,1.0,476.0,12.328412
95903,WA,JP,LEATH,FURNI,121.83,473.0,1.0,1.0,473.0,3.882459
104900,WM,JP,BRICK,CONST,15.63,470.0,1.0,1.0,470.0,30.070377
18286,CN,JP,ALUM1,FOUND,107.27,466.0,1.0,1.0,466.0,4.344178
99460,WA,JP,WEARI,HOTEL,131.55,464.0,1.0,1.0,464.0,3.527176
62861,KR,JP,PLAST,RUBBE,421.95,463.0,1.0,1.0,463.0,1.097286
23286,CN,JP,TEXTI,RUBBE,311.18,461.0,1.0,1.0,461.0,1.481458
92113,US,JP,VEGET,FOOD5,132.47,460.0,1.0,1.0,460.0,3.472484
20255,CN,JP,FURNI,CONST,375.67,460.0,1.0,1.0,460.0,1.224479
102340,WL,JP,CHEM1,CHEM1,26.5,456.0,1.0,1.0,456.0,17.207547
89325,US,JP,MOTO1,MOTO1,999.08,454.0,1.0,1.0,454.0,0.454418
103374,WL,JP,LEAD1,BASIC,51.87,451.0,1.0,1.0,451.0,8.694814
99753,WA,JP,WOODW,PAPER,100.32,450.0,1.0,1.0,450.0,4.485646
93706,WA,JP,CHEM1,PFERT,12.8,447.0,1.0,1.0,447.0,34.921875
104735,WM,JP,ALUM1,ALUM1,185.62,445.0,1.0,1.0,445.0,2.397371
94629,WA,JP,FABRI,WOODW,212.28,441.0,1.0,1.0,441.0,2.077445
92119,US,JP,VEGET,HOTEL,125.15,435.0,1.0,1.0,435.0,3.475829
94035,WA,JP,COPP1,COPP1,105.45,434.0,1.0,1.0,434.0,4.115695
18308,CN,JP,ALUM1,OFFIC,99.82,434.0,1.0,1.0,434.0,4.347826
84678,TW,JP,PRIVA,BUSIN,1197.06,433.0,1.0,1.0,433.0,0.36172
95209,WA,JP,GASDI,LANDT,167.7,430.0,1.0,1.0,430.0,2.564103
94225,WA,JP,CRUDE,HEAVY,442.03,430.0,1.0,1.0,430.0,0.972785
96590,WA,JP,MOTO1,SALEM,389.65,429.0,1.0,1.0,429.0,1.100988
60633,KR,JP,COPP1,COPP1,119.42,425.0,1.0,1.0,425.0,3.558868
18970,CN,JP,CHEM1,CONST,241.2,423.0,1.0,1.0,423.0,1.753731
18545,CN,JP,BASIC,RADIO,132.81,422.0,1.0,1.0,422.0,3.177472
23773,CN,JP,WOODW,CONST,415.71,421.0,1.0,1.0,421.0,1.012725
99508,WA,JP,WEARI,RECRE,118.81,419.0,1.0,1.0,419.0,3.526639
20465,CN,JP,GLASS,MEDIC,274.84,418.0,1.0,1.0,418.0,1.520885
18496,CN,JP,BASIC,CONST,131.59,418.0,1.0,1.0,418.0,3.176533
19498,CN,JP,CROPS,TOBAC,165.14,417.0,1.0,1.0,417.0,2.52513
62999,KR,JP,PREC1,ELECT,141.44,417.0,1.0,1.0,417.0,2.948247
108398,ZA,JP,FABRI,CONST,76.8,416.0,1.0,1.0,416.0,5.416667
42392,GB,JP,NONME,CONST,38.2,416.0,1.0,1.0,416.0,10.890052
63006,KR,JP,PREC1,FOUND,139.72,412.0,1.0,1.0,412.0,2.948755
21358,CN,JP,NONF1,COPP1,67.76,409.0,1.0,1.0,409.0,6.036009
59867,KR,JP,BASIC,MACHI,199.5,409.0,1.0,1.0,409.0,2.050125
23088,CN,JP,STONE,NONME,0.03,404.0,1.0,1.0,404.0,13466.666667
61572,KR,JP,GASDI,PAPE1,469.99,404.0,1.0,1.0,404.0,0.859593
19352,CN,JP,COPP1,COPP1,126.9,402.0,1.0,1.0,402.0,3.167849
95289,WA,JP,GLASS,CONST,220.48,402.0,1.0,1.0,402.0,1.823295
93651,WA,JP,CHEM1,ELEC2,11.3,395.0,1.0,1.0,395.0,34.955752
93689,WA,JP,CHEM1,MOTOR,11.24,393.0,1.0,1.0,393.0,34.964413
98472,WA,JP,RUBBE,RUBBE,485.17,390.0,1.0,1.0,390.0,0.803842
102816,WL,JP,FISH5,FISH5,91.22,390.0,1.0,1.0,390.0,4.275378
105514,WM,JP,CRUDE,LUBRI,600.12,388.0,1.0,1.0,388.0,0.646537
98428,WA,JP,RUBBE,MOTO1,476.63,384.0,1.0,1.0,384.0,0.805656
93726,WA,JP,CHEM1,RESEA,10.99,384.0,1.0,1.0,384.0,34.940855
94537,WA,JP,FABRI,FURNI,183.51,382.0,1.0,1.0,382.0,2.08163
21713,CN,JP,PAPER,PAPER,253.4,382.0,1.0,1.0,382.0,1.507498
23641,CN,JP,WEARI,WHOLE,330.07,382.0,1.0,1.0,382.0,1.15733
95829,WA,JP,LEAD1,NONF1,83.61,379.0,1.0,1.0,379.0,4.532951
94229,WA,JP,CRUDE,KEROS,387.89,377.0,1.0,1.0,377.0,0.971925
93666,WA,JP,CHEM1,FURNI,10.72,375.0,1.0,1.0,375.0,34.981343
61524,KR,JP,GASDI,CONST,436.21,375.0,1.0,1.0,375.0,0.859678
90915,US,JP,REALE,BUSIN,3841.5,374.0,1.0,1.0,374.0,0.097358
96761,WA,JP,NONF1,FABRI,49.68,373.0,1.0,1.0,373.0,7.508052
79098,RU,JP,WOODW,WOODW,207.66,372.0,1.0,1.0,372.0,1.79139
99406,WA,JP,WEARI,93197,103.72,366.0,1.0,1.0,366.0,3.528731
96472,WA,JP,MEMBE,WOODW,208.62,365.0,1.0,1.0,365.0,1.749593
19617,CN,JP,ELECT,PLAST,169.2,363.0,1.0,1.0,363.0,2.14539
87205,US,JP,COPP1,MACHI,114.86,363.0,1.0,1.0,363.0,3.160369
89590,US,JP,NONME,NONME,18.47,363.0,1.0,1.0,363.0,19.653492
2275,AU,JP,BITUM,PLAST,580.31,362.0,1.0,1.0,362.0,0.623805
19593,CN,JP,ELECT,MEDIC,168.58,362.0,1.0,1.0,362.0,2.147348
14088,CA,JP,OILSE,VEGE1,732.92,359.0,1.0,1.0,359.0,0.489822
99755,WA,JP,WOODW,PFERT,79.78,357.0,1.0,1.0,357.0,4.474806
89438,US,JP,NATU1,MOTOR,800.04,356.0,1.0,1.0,356.0,0.444978
19922,CN,JP,FISH5,HOTEL,417.5,356.0,1.0,1.0,356.0,0.852695
106911,WM,JP,NATU1,GASDI,511.68,355.0,1.0,1.0,355.0,0.693793
51288,IE,JP,CONST,ELECT,363.76,355.0,1.0,1.0,355.0,0.975918
105513,WM,JP,CRUDE,LIQUE,548.56,354.0,1.0,1.0,354.0,0.645326
102375,WL,JP,CHEM1,HEALT,20.45,352.0,1.0,1.0,352.0,17.212714
98745,WA,JP,SEACO,SEACO,2424.52,352.0,1.0,1.0,352.0,0.145183
19801,CN,JP,FABRI,WOODW,128.1,351.0,1.0,1.0,351.0,2.740047
23200,CN,JP,TEXTI,CONST,235.12,348.0,1.0,1.0,348.0,1.480095
97675,WA,JP,PUBLI,MEDIC,756.8,346.0,1.0,1.0,346.0,0.457188
92867,WA,JP,ALUM1,MACHI,115.9,345.0,1.0,1.0,345.0,2.976704
95081,WA,JP,FURNI,HEALT,161.57,343.0,1.0,1.0,343.0,2.122919
95921,WA,JP,LEATH,MEDIC,87.99,342.0,1.0,1.0,342.0,3.886805
21424,CN,JP,NONME,BASIC,139.83,341.0,1.0,1.0,341.0,2.438676
96729,WA,JP,NONF1,ALUM1,45.28,340.0,1.0,1.0,340.0,7.508834
106332,WM,JP,KEROS,PUBLI,87.73,339.0,1.0,1.0,339.0,3.864129
89771,US,JP,OILSE,WHOLE,53.46,339.0,1.0,1.0,339.0,6.34119
88608,US,JP,LEAD1,BASIC,179.31,338.0,1.0,1.0,338.0,1.885004
96092,WA,JP,MEAT1,MEAT1,159.14,336.0,1.0,1.0,336.0,2.111348
50730,ID,JP,WOODW,WOODW,304.39,335.0,1.0,1.0,335.0,1.100562
19042,CN,JP,CHEM1,PFERT,189.5,332.0,1.0,1.0,332.0,1.751979
95914,WA,JP,LEATH,LEATH,85.34,331.0,1.0,1.0,331.0,3.878603
96081,WA,JP,MEAT1,FOOD5,155.64,329.0,1.0,1.0,329.0,2.113852
93339,WA,JP,BUSIN,CONST,659.5,327.0,1.0,1.0,327.0,0.49583
20915,CN,JP,MEAT4,HOTEL,455.87,326.0,1.0,1.0,326.0,0.715116
19553,CN,JP,ELECT,ELEC3,151.27,325.0,1.0,1.0,325.0,2.148476
23277,CN,JP,TEXTI,RADIO,218.63,324.0,1.0,1.0,324.0,1.481956
93525,WA,JP,CERAM,CERAM,59.12,323.0,1.0,1.0,323.0,5.463464
21930,CN,JP,PLAST,ELECT,143.47,323.0,1.0,1.0,323.0,2.251342
99740,WA,JP,WOODW,MOTO1,71.24,319.0,1.0,1.0,319.0,4.477821
89118,US,JP,MEATP,MEATP,135.45,319.0,1.0,1.0,319.0,2.355113
93559,WA,JP,CERAM,MACHI,58.24,318.0,1.0,1.0,318.0,5.460165
19559,CN,JP,ELECT,FABRI,147.77,317.0,1.0,1.0,317.0,2.145226
99095,WA,JP,TEXTI,TEXTI,238.58,314.0,1.0,1.0,314.0,1.31612
104760,WM,JP,ALUM1,FABRI,130.44,312.0,1.0,1.0,312.0,2.391904
106317,WM,JP,KEROS,AIRTR,80.51,311.0,1.0,1.0,311.0,3.862874
99514,WA,JP,WEARI,SALEM,88.23,311.0,1.0,1.0,311.0,3.524878
